LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -2.27216 -1.26837 0.594057 0.68341 2.02315 0.895526 1.51074 -0.256459 1.12173 -0.702771 1.00357 -0.0961118 -1.63291 -0.552766 -2.01676 1.69225 -0.625398 -0.513923 1.74091 -0.35958 -0.381889 -2.3024 -0.986132 0.651433 -0.691551 -0.363311 -1.87691 -1.98659 -1.19191 1.31233 -0.164902 -0.863634 1.15303 -1.91592 2.07044 -0.638923 1.73018 0.163593 1.27087 -1.31238 -2.19325 1.94114 -1.0315 -0.564737 2.04653 -1.75811 1.57138 1.81505 1.55728 0.0564528 -1.528 0.311868 0.393359 -0.65405 2.17815 -2.20641 1.14815 -0.186908 0.878452 -1.46842 -1.08806 -0.462274 -1.2507 2.22909 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 32	34	35	0
SITE: 32	33	36	1
SITE: 32	36	37	1
SITE: 31	32	37	1
SITE: 30	31	37	0
SITE: 28	29	35	0
SITE: 28	35	37	0
SITE: 30	38	39	1
SITE: 28	37	39	1
SITE: 27	28	39	0
SITE: 52	54	56	1
SITE: 13	14	16	1
SITE: 11	12	15	1
SITE: 11	15	16	1
SITE: 13	16	18	0
SITE: 11	13	18	0
SITE: 11	18	19	0
SITE: 10	17	19	0
SITE: 9	10	19	1
SITE: 8	9	19	0
SITE: 7	8	19	0
SITE: 6	11	19	0
SITE: 30	40	41	1
SITE: 27	39	41	1
SITE: 27	41	42	1
SITE: 30	42	44	0
SITE: 27	30	44	1
SITE: 27	44	45	0
SITE: 27	45	46	0
SITE: 5	6	19	1
SITE: 4	7	19	0
SITE: 3	4	19	1
SITE: 5	20	21	1
SITE: 3	19	21	0
SITE: 3	21	22	0
SITE: 3	22	23	0
SITE: 3	23	24	1
SITE: 3	24	25	1
SITE: 3	25	26	0
SITE: 5	27	43	1
SITE: 5	26	46	1
SITE: 3	43	46	1
SITE: 51	53	56	1
SITE: 50	51	56	0
SITE: 50	56	57	1
SITE: 50	57	58	0
SITE: 50	58	59	0
SITE: 49	50	59	0
SITE: 48	49	59	1
SITE: 3	46	47	0
SITE: 5	47	52	1
SITE: 3	48	52	0
SITE: 3	52	59	1
SITE: 2	3	59	1
SITE: 1	2	59	1
SITE: 0	0	59	0
SITE: 1	1	60	1
SITE: 60	62	63	1
SITE: 5	60	61	1
SITE: 5	63	63	1
SITE: 5	59	61	0
SITE: 5	61	61	0
SITE: 5	5	5	0
MPS Info: -3.04663 1.06256 0.38072 
Writing MPS done!
