HHHLHHLHHHLHHLHHHHLHHHHHHLLHHHLHHLLLLLLLLHLHHLHLHHLHLLHLLHHLHHHL
W_LIST: -1.50535 -1.93918 -1.67035 0.102166 -1.08238 0.955436 -2.08194 0.688379 1.86987 -0.311461 1.37977 1.81677 0.000539005 -0.169394 -0.293499 0.456667 -1.27642 -1.32914 -1.80791 0.340665 2.0205 1.14037 -0.228254 0.879181 1.06993 1.56466 -0.97186 1.13667 -1.83161 0.886574 -0.383044 0.445743 -0.686742 1.83762 -0.866119 -0.151568 2.09627 0.229313 2.09543 -1.30798 2.28397 -1.19543 -0.323313 -1.0487 -1.43987 1.6138 2.08042 1.63851 2.21417 2.04035 1.46428 -1.80228 -1.36006 -2.04469 0.385138 1.76134 0.539209 1.77357 -1.88667 0.232968 0.485659 1.2091 -1.71691 -2.2469 
st	op	ed	phy
SITE: 37	38	40	1
SITE: 37	40	41	1
SITE: 36	39	41	0
SITE: 36	41	42	1
SITE: 35	36	42	1
SITE: 6	8	9	0
SITE: 4	6	7	0
SITE: 4	5	9	0
SITE: 4	7	10	0
SITE: 2	4	9	1
SITE: 2	9	10	1
SITE: 3	11	12	0
SITE: 2	10	12	1
SITE: 27	28	30	1
SITE: 25	26	29	0
SITE: 25	27	30	0
SITE: 24	25	30	1
SITE: 31	33	34	1
SITE: 30	32	34	1
SITE: 24	30	31	0
SITE: 24	29	34	0
SITE: 24	34	35	0
SITE: 31	37	42	0
SITE: 24	31	42	0
SITE: 22	23	35	0
SITE: 22	24	42	0
SITE: 21	22	42	1
SITE: 20	21	42	0
SITE: 19	20	42	0
SITE: 18	19	42	0
SITE: 18	42	43	0
SITE: 35	44	45	1
SITE: 18	43	45	1
SITE: 18	45	46	1
SITE: 1	2	12	1
SITE: 0	1	12	1
SITE: 55	57	58	0
SITE: 55	58	59	1
SITE: 53	55	56	1
SITE: 53	54	59	0
SITE: 53	59	60	0
SITE: 0	0	13	1
SITE: 56	61	62	0
SITE: 53	60	62	0
SITE: 53	62	63	1
SITE: 52	53	63	0
SITE: 50	51	56	1
SITE: 50	52	63	0
SITE: 49	50	63	1
SITE: 48	49	63	0
SITE: 47	48	63	0
SITE: 35	47	56	1
SITE: 18	46	56	0
SITE: 18	56	63	1
SITE: 17	18	63	0
SITE: 15	16	35	1
SITE: 15	17	63	1
SITE: 14	15	63	0
SITE: 13	35	63	0
SITE: 3	13	14	0
SITE: 3	63	63	0
SITE: 3	12	14	0
SITE: 3	14	14	0
WARN: Unitary gate is identity
SITE: 3	3	3	0
MPS Info: 6.49354 1.06098 0.296422 
Writing MPS done!
