LLLLHLHHLLLHLHHHHLHHHLHLHHLHHHHHHHLHLHLHLLHLLLHLHLHLLLHLHHHLLHLH
W_LIST: 0.110385 -0.465684 -1.43351 0.204125 -0.0687384 1.1893 1.10884 -2.0604 -0.576312 1.91879 1.17082 -1.84521 -0.970705 0.0306264 1.82125 1.23028 -1.21086 -1.14664 -1.83598 -0.71225 2.05827 2.12617 -0.440666 -1.83852 -1.25277 -1.48161 1.93165 -1.48859 -2.16536 0.259225 2.13706 1.53411 0.582075 -0.864011 -1.5878 1.52097 1.67944 -2.1677 0.296947 1.53084 -0.242691 -1.41364 0.654001 -0.49076 1.40114 0.333936 0.319924 -0.884896 2.15167 -1.17936 0.59416 1.55208 -1.46446 -0.136325 0.665307 -0.0180921 -1.39937 -0.445314 -0.492818 -1.71587 1.71195 -0.958011 0.471157 1.69867 
st	op	ed	phy
SITE: 6	7	9	1
SITE: 8	9	11	1
SITE: 6	8	11	0
SITE: 6	11	12	1
SITE: 10	12	14	0
SITE: 6	13	14	0
SITE: 10	14	16	0
SITE: 6	15	16	0
SITE: 46	48	49	0
SITE: 46	49	50	0
SITE: 58	59	61	0
SITE: 58	60	62	1
SITE: 34	36	37	1
SITE: 34	37	38	1
SITE: 34	35	39	0
SITE: 33	34	39	0
SITE: 32	33	39	1
SITE: 31	38	39	0
SITE: 31	39	40	0
SITE: 31	40	41	1
SITE: 31	41	42	0
SITE: 31	42	43	0
SITE: 31	32	44	0
SITE: 31	44	45	1
SITE: 4	5	10	1
SITE: 4	10	16	1
SITE: 47	51	52	1
SITE: 46	50	52	0
SITE: 46	52	53	0
SITE: 31	43	46	0
SITE: 45	46	53	0
SITE: 31	47	53	0
SITE: 26	28	29	1
SITE: 26	27	30	1
SITE: 25	26	30	1
SITE: 24	25	30	1
SITE: 22	23	29	0
SITE: 22	24	30	1
SITE: 21	29	30	1
SITE: 22	31	45	0
SITE: 21	30	45	0
SITE: 21	45	53	1
SITE: 58	61	63	1
SITE: 57	58	63	0
SITE: 19	21	22	1
SITE: 19	20	53	0
SITE: 18	19	53	0
SITE: 56	57	63	1
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 22	54	62	0
SITE: 18	53	62	1
SITE: 18	22	63	1
SITE: 4	16	17	1
SITE: 6	17	62	0
SITE: 6	18	63	1
SITE: 4	6	63	0
SITE: 2	4	62	1
SITE: 2	3	63	1
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	0	62	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 62	62	62	1
MPS Info: 3.50963 1.65274 0.000128835 
Writing MPS done!
