HHLHHHHHHLHLHHHLHHHLLHHHHHHLHHHLHHHHHHHLHHHLHHLHHLLHLHLHHLHHHHLL
W_LIST: -2.08497 -1.50789 1.30455 0.989288 0.404065 1.59712 1.76307 0.8172 -1.55683 1.32797 0.376746 -1.76204 0.113358 0.0472948 -0.332525 -0.646923 -0.428732 0.0335632 1.65668 1.14167 -0.268579 0.654982 -1.62337 1.81834 1.66034 -0.182133 2.1736 -0.542365 -2.19318 -0.569721 -1.9246 -2.25852 0.299476 -0.700814 -0.0946068 -0.281324 0.479709 2.29255 0.535407 -2.11592 -0.453246 1.2865 1.90044 1.10907 1.24955 -0.93772 0.949882 -1.09518 1.3698 -0.282671 0.52165 1.05495 0.080176 0.411039 -1.64135 1.77529 -0.00758294 -2.18355 0.400003 2.00506 -2.0692 -2.3036 0.653495 0.0858013 
st	op	ed	phy
SITE: 57	59	60	0
SITE: 58	61	62	1
SITE: 57	60	62	1
SITE: 56	57	62	0
SITE: 55	58	62	0
SITE: 54	55	62	0
SITE: 53	54	62	0
SITE: 52	53	62	0
SITE: 36	37	39	0
SITE: 36	39	40	0
SITE: 36	38	41	0
SITE: 35	36	41	0
SITE: 25	26	28	0
SITE: 25	28	29	1
SITE: 24	27	29	0
SITE: 24	29	30	1
SITE: 22	23	25	0
SITE: 22	24	30	0
SITE: 21	22	30	1
SITE: 19	20	25	0
SITE: 19	21	30	0
SITE: 25	30	32	1
SITE: 19	31	32	0
SITE: 19	32	33	0
SITE: 17	18	25	0
SITE: 17	19	33	1
SITE: 16	17	33	0
SITE: 15	25	33	0
SITE: 8	9	11	1
SITE: 7	8	11	1
SITE: 7	11	12	0
SITE: 6	10	12	0
SITE: 6	12	13	0
SITE: 6	13	14	0
SITE: 6	7	15	0
SITE: 5	6	15	0
SITE: 4	5	15	0
SITE: 4	15	16	0
SITE: 4	16	33	0
SITE: 3	4	33	0
SITE: 1	3	14	0
SITE: 1	2	33	1
SITE: 0	1	33	1
SITE: 44	46	47	1
SITE: 45	47	49	1
SITE: 44	45	49	1
SITE: 35	41	42	0
SITE: 35	42	43	0
SITE: 40	43	48	1
SITE: 40	48	49	0
SITE: 35	40	49	0
SITE: 51	56	62	0
SITE: 51	62	63	1
SITE: 0	0	34	1
SITE: 34	35	49	1
SITE: 14	33	44	1
SITE: 14	14	49	0
SITE: 50	51	63	0
SITE: 44	50	52	1
SITE: 44	49	63	0
SITE: 34	63	63	0
SITE: 34	52	52	1
SITE: 34	44	44	0
SITE: 34	34	34	1
MPS Info: 21.2324 1.04078 0.0828922 
Writing MPS done!
