LLLHHLLLHHHHLLLHHHHHLLLLHHHHHHLHHHLLLHHHLHHHLHLLLHHLHHHHHHHLHHHL
W_LIST: 1.08982 -1.14013 1.66239 -1.34774 1.38916 -0.0807509 -1.64908 -1.98974 1.38806 -1.16745 -1.27308 0.560005 -1.0269 -0.345709 1.6303 -1.04939 1.50538 0.676351 0.476266 -1.98649 1.69651 -1.34168 -1.98321 0.80958 1.91109 1.72702 0.258125 1.60469 -1.23796 -1.27741 0.480835 1.95935 -1.19344 -0.383813 1.3126 1.52831 0.216788 -1.40272 -1.06695 -1.29894 0.490773 -1.47427 0.743766 -0.125567 0.585654 0.66694 -1.78454 -0.0665294 -0.703511 -1.02432 -1.87175 0.427157 0.27044 -0.332857 0.0500201 -0.0394754 -0.262475 -1.5889 -0.348635 -0.515064 1.8555 1.20806 0.335063 1.45345 
st	op	ed	phy
SITE: 18	19	21	1
SITE: 29	31	32	0
SITE: 2	4	5	0
SITE: 2	3	6	1
SITE: 1	2	6	1
SITE: 0	1	6	0
SITE: 5	7	8	0
SITE: 0	0	8	1
SITE: 5	8	9	0
SITE: 6	10	11	1
SITE: 5	6	11	0
SITE: 5	9	12	1
SITE: 17	20	21	1
SITE: 5	12	13	0
SITE: 5	11	14	0
SITE: 5	14	15	1
SITE: 5	15	16	1
SITE: 25	27	28	0
SITE: 26	29	30	1
SITE: 26	28	32	1
SITE: 25	30	32	1
SITE: 25	32	33	1
SITE: 25	33	34	1
SITE: 26	35	36	1
SITE: 25	26	36	0
SITE: 25	34	37	1
SITE: 24	25	37	0
SITE: 22	24	36	0
SITE: 22	23	37	1
SITE: 18	22	36	0
SITE: 18	21	37	0
SITE: 17	36	37	0
SITE: 17	37	38	1
SITE: 18	39	40	1
SITE: 17	38	40	1
SITE: 17	40	41	1
SITE: 17	41	42	1
SITE: 17	42	43	0
SITE: 17	18	44	1
SITE: 13	16	43	0
SITE: 13	17	44	0
SITE: 5	5	44	1
SITE: 13	44	45	1
SITE: 13	43	46	1
SITE: 13	46	47	0
SITE: 13	45	48	0
SITE: 13	48	49	0
SITE: 47	50	51	1
SITE: 13	47	51	1
SITE: 13	49	52	1
SITE: 13	52	53	0
SITE: 13	53	54	1
SITE: 57	59	60	0
SITE: 57	60	61	0
SITE: 57	61	62	0
SITE: 56	57	62	1
SITE: 56	62	63	0
SITE: 55	56	63	1
SITE: 13	13	55	0
SITE: 54	55	63	1
SITE: 51	63	63	1
SITE: 51	58	58	1
SITE: 51	54	54	1
WARN: Unitary gate is identity
SITE: 51	51	51	1
MPS Info: 9.69347 1.21661 0.12257 
Writing MPS done!
