HLHHLHHLLLLHLLLHHHHHLLHLLHHHLHHHHLHLLHLHLLHLHLHHHHHHLLLHLHHHHLLL
W_LIST: -0.136398 1.38947 -1.93103 -1.17271 -0.870682 0.320736 -0.171351 1.29133 1.1886 -1.3387 -1.63178 -1.72665 1.30572 -0.00232647 1.26076 0.278691 1.61792 0.989648 0.428067 0.205925 1.76136 0.350673 1.65213 0.144007 1.92362 0.497369 1.24269 1.09781 -1.81093 1.64559 0.807187 -0.172202 0.984783 -1.02181 0.0736597 0.399608 -0.498786 -1.51777 -0.154482 -0.425432 0.15315 -1.84888 -1.57844 0.832261 1.46292 -1.53026 -0.806861 -0.398564 -0.810797 1.44829 0.634489 -1.81429 0.0912228 -1.0567 0.530997 0.905705 0.409495 -1.39814 -1.95576 0.139285 -0.0392868 1.4877 0.0913984 0.22696 
st	op	ed	phy
SITE: 42	44	45	0
SITE: 40	41	43	0
SITE: 40	43	45	1
SITE: 39	42	45	1
SITE: 27	29	30	0
SITE: 27	28	31	0
SITE: 30	32	33	0
SITE: 27	30	33	0
SITE: 27	33	34	0
SITE: 26	27	34	0
SITE: 25	26	34	0
SITE: 24	25	34	0
SITE: 23	24	34	1
SITE: 22	23	34	0
SITE: 21	22	34	0
SITE: 20	21	34	1
SITE: 19	20	34	1
SITE: 18	19	34	1
SITE: 17	31	34	0
SITE: 48	49	51	0
SITE: 48	51	52	1
SITE: 50	53	54	0
SITE: 48	50	54	0
SITE: 39	45	46	0
SITE: 38	40	46	1
SITE: 37	39	46	1
SITE: 36	37	46	1
SITE: 35	36	46	0
SITE: 18	35	38	1
SITE: 17	34	38	0
SITE: 17	38	46	0
SITE: 16	17	46	0
SITE: 15	16	46	0
SITE: 14	15	46	0
SITE: 12	14	18	1
SITE: 12	13	46	0
SITE: 11	12	46	1
SITE: 10	11	46	1
SITE: 8	10	18	0
SITE: 8	9	46	0
SITE: 7	8	46	1
SITE: 6	7	46	1
SITE: 5	6	46	1
SITE: 4	18	46	0
SITE: 3	4	46	0
SITE: 1	2	5	1
SITE: 1	5	46	0
SITE: 0	1	46	1
SITE: 0	3	47	1
SITE: 47	52	54	1
SITE: 0	47	48	1
SITE: 0	0	54	1
SITE: 46	54	55	1
SITE: 48	56	57	1
SITE: 46	48	57	1
SITE: 55	57	59	1
SITE: 46	58	59	1
SITE: 55	59	61	1
SITE: 46	60	61	1
SITE: 46	61	62	1
SITE: 46	62	63	0
SITE: 46	63	63	1
SITE: 46	46	55	1
WARN: Unitary gate is identity
SITE: 55	55	55	0
MPS Info: 3.75961 1.61215 0.0773155 
Writing MPS done!
