HHLHLLHLLLLLLLLHHLHHHLHHHHHLLHLLHLHLHLHLLHLLHLLLLHHLLLLHLHHHLHHH
W_LIST: 0.3259 1.81107 -0.529937 1.52313 0.752677 1.72098 -1.92506 -0.828497 1.82202 0.632757 -0.358225 -1.44109 1.02783 0.054904 1.86584 1.83337 0.303345 1.04186 0.420034 -1.42867 1.77216 -0.700602 1.59136 0.699744 -0.0742967 0.959094 -1.92655 0.346664 -1.90643 -1.20057 -1.13842 -1.19413 0.0144871 -0.461473 1.2005 -1.78851 -0.618048 1.79639 0.664263 -0.946515 -0.569787 -0.577979 -1.29881 -1.67477 0.942464 -1.89646 1.35609 -1.12057 0.504655 0.527056 0.385528 0.478807 1.39469 0.822663 0.61116 -0.936765 1.18816 0.633653 1.10972 0.91501 -1.02175 0.867643 0.717454 -1.31079 
st	op	ed	phy
SITE: 5	6	8	1
SITE: 5	8	9	1
SITE: 18	20	21	0
SITE: 18	19	22	1
SITE: 34	35	37	0
SITE: 17	21	22	0
SITE: 17	22	23	0
SITE: 17	23	24	0
SITE: 18	25	26	0
SITE: 17	24	26	0
SITE: 17	26	27	1
SITE: 17	18	28	1
SITE: 15	17	27	1
SITE: 15	16	28	1
SITE: 13	14	27	1
SITE: 13	15	28	0
SITE: 11	12	27	1
SITE: 11	13	28	0
SITE: 10	11	28	0
SITE: 7	10	27	1
SITE: 7	9	28	0
SITE: 5	7	28	0
SITE: 4	5	28	1
SITE: 3	27	28	1
SITE: 3	28	29	0
SITE: 2	3	29	0
SITE: 1	4	29	1
SITE: 0	1	29	0
SITE: 36	37	39	1
SITE: 34	36	39	1
SITE: 33	34	39	0
SITE: 45	46	48	1
SITE: 43	45	47	0
SITE: 43	47	48	0
SITE: 0	0	30	0
SITE: 33	39	40	0
SITE: 43	44	49	0
SITE: 60	61	63	0
SITE: 59	62	63	0
SITE: 58	59	63	0
SITE: 57	58	63	0
SITE: 55	56	60	1
SITE: 55	57	63	0
SITE: 54	55	63	1
SITE: 53	60	63	0
SITE: 52	53	63	1
SITE: 51	52	63	1
SITE: 43	48	50	1
SITE: 50	54	63	0
SITE: 43	49	51	1
SITE: 43	50	63	0
SITE: 2	30	31	0
SITE: 2	31	32	0
SITE: 32	38	40	0
SITE: 29	32	40	0
SITE: 2	29	40	0
SITE: 42	43	63	0
SITE: 41	42	63	0
SITE: 33	41	51	0
SITE: 2	40	51	1
SITE: 2	63	63	1
SITE: 2	2	51	1
SITE: 33	51	51	0
WARN: Unitary gate is identity
SITE: 33	33	33	1
MPS Info: -3.81558 0.9685 0.18398 
Writing MPS done!
