HLLHLHLLHLLLHHHHHLHLHLHLHHLHHHLLHHHLLLLHHHLHHHLHHHLHLHLLHLLHLHHH
W_LIST: 3.2038 -2.78877 -0.0909253 1.44313 0.378119 -2.97135 -0.776783 1.44441 2.61405 -2.87223 1.64317 0.22288 2.13199 -2.05258 0.418913 -1.90967 -0.19761 3.10856 -2.32971 -1.08266 2.5458 1.58687 1.59643 -3.00425 -1.86691 0.94955 -1.03006 -1.25296 0.403285 -1.93447 1.06187 -0.334341 3.07382 -1.77988 3.07446 2.40444 0.108817 2.04432 -2.92624 1.29509 -0.505662 -1.95336 -2.64824 -2.10893 1.08678 0.571161 1.14847 -1.45761 1.51012 -1.24078 3.3086 -1.85778 -3.21886 -2.43579 -1.98552 0.863815 2.77767 -1.80103 0.227166 2.4329 -1.52563 1.36362 -2.27906 -1.18458 
st	op	ed	phy
SITE: 31	32	34	0
SITE: 29	30	33	1
SITE: 29	33	34	1
SITE: 28	29	34	1
SITE: 54	56	57	0
SITE: 17	18	20	1
SITE: 16	17	20	1
SITE: 55	57	59	0
SITE: 54	55	59	1
SITE: 54	59	60	0
SITE: 58	61	62	0
SITE: 54	58	62	1
SITE: 14	15	19	1
SITE: 12	13	16	1
SITE: 12	16	19	1
SITE: 12	19	20	0
SITE: 12	20	21	0
SITE: 47	48	50	0
SITE: 47	50	51	1
SITE: 46	49	51	1
SITE: 36	38	39	0
SITE: 36	37	40	1
SITE: 35	39	40	0
SITE: 35	36	41	0
SITE: 31	35	40	1
SITE: 31	34	41	0
SITE: 28	31	41	0
SITE: 27	28	41	0
SITE: 4	5	7	1
SITE: 6	8	9	0
SITE: 4	7	9	1
SITE: 4	9	10	0
SITE: 4	10	11	1
SITE: 6	12	14	0
SITE: 6	14	21	1
SITE: 4	6	21	0
SITE: 3	4	21	0
SITE: 2	3	21	0
SITE: 0	0	11	0
SITE: 1	1	21	0
SITE: 11	21	23	1
SITE: 2	22	23	0
SITE: 11	23	25	0
SITE: 2	24	25	1
SITE: 2	2	26	1
SITE: 54	62	63	1
SITE: 25	26	40	0
SITE: 11	25	40	0
SITE: 11	27	41	1
SITE: 45	46	51	1
SITE: 43	44	47	0
SITE: 43	47	51	1
SITE: 42	43	51	1
SITE: 40	42	45	0
SITE: 11	41	45	1
SITE: 11	40	51	1
SITE: 11	51	52	1
SITE: 11	52	53	0
SITE: 45	54	60	0
SITE: 45	53	63	1
SITE: 11	63	63	1
WARN: Unitary gate is identity
SITE: 60	60	60	0
WARN: Unitary gate is identity
SITE: 45	45	45	1
WARN: Unitary gate is identity
SITE: 11	11	11	0
MPS Info: 5.74906 0.742147 0.150323 
Writing MPS done!
