HHLLHLLLHHLLHHLLLLHLLHLHLHLLLHLHLLHHLHHLHLHHLHLHHHLHHHLLLLHHHLHL
W_LIST: -2.74514 -0.768457 2.16641 -1.63186 1.24831 2.60857 -1.12142 1.22951 -0.17404 -0.62422 -2.20941 2.71901 1.36784 -1.55231 2.37805 1.69019 3.29635 -1.43001 2.59508 1.27892 -0.689737 -2.60758 -0.59983 0.188591 -1.01616 -0.00940364 -0.42818 0.506073 -0.431462 -0.173517 -0.960177 -0.942246 1.25223 3.11815 1.26948 1.59257 -2.59869 2.70921 -2.42938 -1.59482 -0.165036 -0.834121 1.4611 -0.713491 3.19734 2.36512 0.0753335 -1.10884 -1.97618 -0.9685 1.13237 3.20172 3.18004 0.672167 2.0452 1.40833 -2.07086 -0.690615 0.383286 0.888705 -1.7886 0.938524 3.19345 -2.97142 
st	op	ed	phy
SITE: 60	62	63	0
SITE: 35	37	38	0
SITE: 59	60	63	1
SITE: 10	11	13	1
SITE: 10	13	14	1
SITE: 9	10	14	0
SITE: 3	5	6	1
SITE: 2	3	6	0
SITE: 1	2	6	1
SITE: 1	6	7	0
SITE: 1	7	8	1
SITE: 4	8	12	1
SITE: 4	12	14	0
SITE: 1	4	14	0
SITE: 0	0	14	1
SITE: 15	16	18	1
SITE: 9	14	17	1
SITE: 1	1	17	1
SITE: 9	17	18	0
SITE: 9	18	19	0
SITE: 9	19	20	1
SITE: 9	20	21	0
SITE: 9	21	22	1
SITE: 9	22	23	0
SITE: 9	23	24	0
SITE: 41	42	44	0
SITE: 41	44	45	1
SITE: 41	45	46	0
SITE: 41	43	47	1
SITE: 9	24	25	0
SITE: 9	25	26	0
SITE: 9	15	27	1
SITE: 41	47	48	1
SITE: 41	48	49	1
SITE: 41	49	50	1
SITE: 41	50	51	1
SITE: 33	35	36	0
SITE: 33	36	38	0
SITE: 31	33	34	1
SITE: 31	34	38	0
SITE: 30	31	38	1
SITE: 29	30	38	0
SITE: 27	28	32	0
SITE: 27	29	38	0
SITE: 9	27	32	1
SITE: 9	26	38	0
SITE: 55	56	58	0
SITE: 46	52	53	0
SITE: 41	51	53	0
SITE: 41	53	54	0
SITE: 46	54	57	1
SITE: 41	55	57	1
SITE: 41	57	58	0
SITE: 46	58	61	0
SITE: 41	59	61	0
SITE: 41	61	63	1
SITE: 9	38	39	1
SITE: 9	39	40	0
SITE: 32	41	46	0
SITE: 9	40	46	0
SITE: 9	63	63	0
SITE: 9	9	46	1
SITE: 32	46	46	0
WARN: Unitary gate is identity
SITE: 32	32	32	0
MPS Info: -2.77543 0.827835 0.352289 
Writing MPS done!
