LHHLHLHLLHHLLLLHLHHLLLLHHLLLLLLHHHHHLHHHHHHHHLHLLHHHLHHLLHLLLHLL
W_LIST: 1.37101 2.39905 1.52597 1.26816 -0.871195 1.94835 -2.04045 -1.56356 1.27106 -1.28952 0.837055 2.71536 1.5501 -0.218273 3.1624 -2.0302 -0.706428 -0.212852 2.40783 3.13647 -0.437829 -0.472793 -2.01652 -0.177162 -0.9675 -2.56661 -1.04316 2.97684 -2.65745 0.082361 0.3077 1.87667 -1.38537 2.85954 0.896205 -2.79242 1.28131 0.0422492 -3.32444 -0.421241 2.9633 2.15052 1.31932 0.78767 -2.27448 0.488994 -2.78636 2.0412 2.04701 -2.46243 1.98909 -3.28629 0.263785 -2.13995 -2.7462 -1.57965 2.75975 0.0504905 -1.42039 -1.00915 1.95015 -0.195075 -2.19318 1.14368 
st	op	ed	phy
SITE: 49	51	52	1
SITE: 48	49	52	1
SITE: 32	33	35	0
SITE: 31	34	35	0
SITE: 31	35	36	1
SITE: 32	36	38	1
SITE: 31	32	38	1
SITE: 48	50	53	0
SITE: 26	27	29	1
SITE: 37	38	40	1
SITE: 31	37	40	1
SITE: 12	14	15	1
SITE: 12	15	16	1
SITE: 13	16	18	0
SITE: 12	13	18	0
SITE: 30	31	40	0
SITE: 10	11	17	1
SITE: 10	12	18	1
SITE: 8	9	17	1
SITE: 8	17	18	0
SITE: 7	8	18	1
SITE: 59	60	62	1
SITE: 25	28	29	0
SITE: 26	29	39	1
SITE: 26	39	40	1
SITE: 25	26	40	0
SITE: 24	25	40	0
SITE: 3	5	6	1
SITE: 4	6	10	1
SITE: 4	7	18	0
SITE: 3	4	18	1
SITE: 59	62	63	0
SITE: 55	56	58	1
SITE: 2	3	18	1
SITE: 1	2	18	0
SITE: 0	1	18	0
SITE: 46	47	52	1
SITE: 46	48	53	1
SITE: 45	46	53	1
SITE: 44	45	53	1
SITE: 43	44	53	1
SITE: 42	43	53	0
SITE: 10	19	20	1
SITE: 0	18	20	0
SITE: 0	0	21	1
SITE: 10	20	22	0
SITE: 10	22	23	0
SITE: 23	24	40	1
SITE: 10	21	30	1
SITE: 10	30	40	0
SITE: 57	58	61	0
SITE: 57	59	63	0
SITE: 55	57	63	0
SITE: 54	55	63	0
SITE: 52	54	61	1
SITE: 52	53	63	1
SITE: 42	52	63	0
SITE: 10	40	41	0
SITE: 23	41	61	0
SITE: 10	42	61	0
SITE: 10	63	63	1
SITE: 10	10	61	1
WARN: Unitary gate is identity
SITE: 61	61	61	1
WARN: Unitary gate is identity
SITE: 23	23	23	0
MPS Info: 1.20672 0.671244 0.125405 
Writing MPS done!
