HHHHHLLHLHLHLLHHHLHLHLLLHLHHLLHLLHLLHHLLHLLLHLLLHHHLLLHHLLLLHLLL
W_LIST: 0.918798 3.38927 -0.554927 0.432875 -3.19098 -0.0627358 -3.03538 2.22846 2.49205 -0.477158 2.88925 0.89818 3.53758 -2.12507 -1.81546 -2.20258 -1.39429 -1.95394 2.91105 -1.26909 -0.837195 -2.49066 -0.214393 3.45928 -1.13214 -3.39016 0.768225 -1.26538 0.224805 -1.31678 -1.45348 -0.875128 1.15889 -0.674496 0.466787 3.12741 -1.98321 0.67805 -1.34335 2.06146 -2.20949 -2.89976 -0.441014 2.92725 0.00393298 -2.03992 -1.10998 -3.25364 2.83887 -1.64106 3.06698 1.37357 1.27383 1.62186 1.66109 0.394769 -0.655879 -0.991782 -0.0580387 2.61847 -2.09421 -1.74963 -1.07281 0.670427 
st	op	ed	phy
SITE: 23	25	26	0
SITE: 47	48	50	0
SITE: 23	26	27	0
SITE: 22	23	27	1
SITE: 46	47	50	0
SITE: 4	6	7	0
SITE: 46	50	51	0
SITE: 1	2	4	1
SITE: 3	4	7	1
SITE: 1	3	7	1
SITE: 0	1	7	0
SITE: 37	39	40	1
SITE: 35	36	38	1
SITE: 35	38	40	0
SITE: 22	27	28	1
SITE: 22	24	29	1
SITE: 45	49	51	1
SITE: 44	45	51	0
SITE: 21	22	29	0
SITE: 20	21	29	0
SITE: 18	19	28	0
SITE: 18	20	29	0
SITE: 17	18	29	0
SITE: 43	44	51	0
SITE: 42	43	51	1
SITE: 41	42	51	0
SITE: 37	40	46	1
SITE: 35	41	46	0
SITE: 35	37	51	0
SITE: 34	35	51	1
SITE: 32	33	46	1
SITE: 32	34	51	0
SITE: 31	32	51	1
SITE: 10	12	13	1
SITE: 9	10	13	1
SITE: 8	9	13	1
SITE: 5	7	11	0
SITE: 0	8	11	1
SITE: 0	0	13	0
SITE: 5	13	14	0
SITE: 5	14	15	1
SITE: 5	15	16	1
SITE: 11	16	28	1
SITE: 11	17	29	0
SITE: 5	11	29	1
SITE: 57	59	60	1
SITE: 57	60	61	1
SITE: 58	61	63	0
SITE: 57	62	63	0
SITE: 31	51	52	1
SITE: 31	52	53	1
SITE: 5	29	30	0
SITE: 28	31	46	0
SITE: 5	28	46	1
SITE: 5	30	53	1
SITE: 5	53	54	1
SITE: 5	54	55	0
SITE: 5	55	56	0
SITE: 5	56	57	0
SITE: 46	57	63	0
SITE: 5	63	63	1
SITE: 5	58	58	1
WARN: Unitary gate is identity
SITE: 5	5	5	1
WARN: Unitary gate is identity
SITE: 46	46	46	0
MPS Info: -9.2813 0.948189 0.160561 
Writing MPS done!
