HHHHLLLHHHHHLLHLHHLLHLLLHLHHHLHLLLHHLLHHHHLLHLHHLHHLHHLHLLHHLLLL
W_LIST: -1.51862 -2.27456 -0.0598009 -2.22613 1.27053 -3.25673 0.840368 -2.79796 -3.22361 3.11852 -2.82205 3.37638 -0.507702 -0.161355 0.646259 3.56241 2.90931 -1.99228 -2.85459 -2.45619 3.19362 -0.13252 -0.469765 2.39803 -1.97551 3.30275 -0.00632238 0.410892 -3.05187 3.50416 3.15785 -1.16994 -2.85439 -3.40803 0.701611 3.07766 3.0746 -0.894881 -2.53016 -3.00817 2.26473 0.447938 0.00386186 1.08483 -3.21421 1.86484 -0.093846 1.25253 -1.43468 1.51915 1.84451 1.36532 0.24893 0.227401 0.751678 -0.604979 2.27195 -0.815869 2.64622 1.78553 -1.03503 0.764561 -1.55126 0.976455 
st	op	ed	phy
SITE: 23	25	26	1
SITE: 22	24	26	1
SITE: 23	26	28	1
SITE: 22	23	28	1
SITE: 22	28	29	1
SITE: 20	22	27	0
SITE: 20	21	29	1
SITE: 19	20	29	0
SITE: 9	11	12	0
SITE: 8	9	12	0
SITE: 2	3	5	1
SITE: 1	4	5	1
SITE: 1	5	6	0
SITE: 1	6	7	1
SITE: 2	7	10	1
SITE: 1	8	10	1
SITE: 1	10	12	1
SITE: 43	44	46	1
SITE: 18	19	29	0
SITE: 16	18	27	0
SITE: 16	17	29	1
SITE: 14	15	27	1
SITE: 14	16	29	0
SITE: 45	47	48	0
SITE: 43	45	48	1
SITE: 43	48	49	0
SITE: 54	56	57	1
SITE: 54	57	58	0
SITE: 55	58	60	0
SITE: 54	59	60	0
SITE: 54	55	61	1
SITE: 54	61	62	1
SITE: 54	62	63	0
SITE: 0	1	12	1
SITE: 27	30	31	0
SITE: 14	29	31	1
SITE: 14	27	32	1
SITE: 31	33	34	0
SITE: 14	32	34	0
SITE: 14	34	35	0
SITE: 31	35	37	0
SITE: 14	36	37	1
SITE: 14	37	38	0
SITE: 31	39	40	1
SITE: 14	38	40	1
SITE: 14	40	41	0
SITE: 14	41	42	0
SITE: 31	43	46	1
SITE: 14	31	46	1
SITE: 14	42	49	0
SITE: 13	14	49	0
SITE: 2	12	46	1
SITE: 2	13	49	0
SITE: 0	0	49	1
SITE: 2	49	50	0
SITE: 2	50	51	0
SITE: 2	51	52	1
SITE: 2	2	53	1
SITE: 53	60	63	0
SITE: 46	53	54	0
SITE: 46	63	63	1
SITE: 46	54	54	1
SITE: 46	52	52	1
WARN: Unitary gate is identity
SITE: 46	46	46	1
MPS Info: 8.93963 0.95939 0.0582967 
Writing MPS done!
