LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -0.845191 0.264103 1.06981 1.01121 -2.08998 1.45415 0.053458 2.13059 -1.70531 1.96671 1.02313 1.16126 2.64701 -0.454179 0.12616 -2.82508 -0.720828 -0.426731 2.20536 -1.81866 -0.443071 -1.6952 -1.54319 -2.66043 2.11898 1.60998 1.32179 0.0619983 -1.96437 0.881945 -2.96756 0.28936 -2.88175 0.0546559 1.7366 1.33083 1.69101 -2.87565 -0.67934 1.96537 -0.0771445 2.21836 -0.0697651 -0.00875795 0.292969 2.08843 -0.243502 -0.912051 1.92462 1.92714 2.9123 -1.27954 0.372057 1.61499 -2.83479 0.868008 -1.01772 2.90242 2.92571 1.60009 0.177979 2.61453 1.20691 1.9502 
st	op	ed	phy
SITE: 54	56	57	1
SITE: 53	54	57	0
SITE: 36	37	39	0
SITE: 52	53	57	1
SITE: 50	51	55	0
SITE: 50	55	57	1
SITE: 49	50	57	0
SITE: 28	30	31	1
SITE: 28	29	32	1
SITE: 27	28	32	0
SITE: 31	32	34	0
SITE: 27	33	34	0
SITE: 27	34	35	1
SITE: 31	36	38	0
SITE: 27	35	38	0
SITE: 27	31	39	0
SITE: 6	7	9	1
SITE: 4	5	8	1
SITE: 4	8	9	0
SITE: 3	4	9	0
SITE: 3	9	10	1
SITE: 6	11	12	1
SITE: 3	6	12	0
SITE: 17	18	20	0
SITE: 3	12	13	1
SITE: 15	16	19	0
SITE: 14	15	19	0
SITE: 14	19	20	0
SITE: 14	17	21	1
SITE: 13	14	21	0
SITE: 3	13	20	1
SITE: 3	10	21	1
SITE: 26	27	39	1
SITE: 52	58	59	0
SITE: 49	57	59	1
SITE: 52	59	61	0
SITE: 49	52	61	0
SITE: 49	61	62	0
SITE: 47	49	60	1
SITE: 47	48	62	0
SITE: 46	60	62	1
SITE: 45	46	62	1
SITE: 45	62	63	1
SITE: 44	45	63	0
SITE: 43	44	63	1
SITE: 42	43	63	1
SITE: 41	42	63	1
SITE: 40	41	63	0
SITE: 39	47	63	1
SITE: 38	39	63	1
SITE: 26	38	63	0
SITE: 2	3	21	0
SITE: 1	2	21	0
SITE: 0	0	21	0
SITE: 25	26	63	0
SITE: 23	24	40	1
SITE: 23	25	63	1
SITE: 22	23	63	0
SITE: 20	21	40	1
SITE: 1	1	40	1
SITE: 20	63	63	0
SITE: 20	22	40	1
SITE: 20	40	40	0
WARN: Unitary gate is identity
SITE: 20	20	20	1
MPS Info: -10.7831 0.884776 0.00575624 
Writing MPS done!
