LHHLHHHHLLLHLLHHHLLHLLLLHLHLLHHLHHLLLLHHHLLLLHLLHLLLLLLLLHHHHHHH
W_LIST: 0.510272 0.937583 -2.27136 -3.58104 0.74453 2.63404 -2.67399 -3.74891 1.59586 0.286274 -1.3972 3.38097 -0.235989 -2.04945 -1.56533 -2.97372 2.83276 -4.0527 -3.11627 -1.78229 3.42729 -0.656638 1.41794 2.10943 1.92506 -2.42714 -1.00641 -1.10039 -0.509343 1.31486 -2.36046 -2.83709 2.15344 3.75124 -1.1242 -3.23986 -1.14952 3.894 -3.60207 -3.9567 0.176693 2.55752 -0.416483 -3.90082 -4.2208 -3.22143 -1.07274 -1.05104 -1.11662 -2.92572 1.60717 -3.57294 1.26451 -0.143184 -1.71401 -1.50152 3.38081 2.33229 -1.1608 2.90072 -3.95896 3.72097 3.8136 -0.866435 
st	op	ed	phy
SITE: 58	60	61	1
SITE: 31	33	34	0
SITE: 31	32	35	0
SITE: 3	5	6	0
SITE: 4	7	8	1
SITE: 3	6	8	1
SITE: 35	37	38	1
SITE: 31	35	36	0
SITE: 31	36	38	0
SITE: 1	3	4	0
SITE: 1	2	8	1
SITE: 55	56	58	1
SITE: 57	59	61	0
SITE: 55	57	61	0
SITE: 58	62	63	0
SITE: 55	61	63	0
SITE: 19	20	22	1
SITE: 10	11	13	0
SITE: 14	15	17	1
SITE: 9	10	13	0
SITE: 4	8	12	1
SITE: 1	4	12	0
SITE: 1	12	13	1
SITE: 9	13	16	0
SITE: 1	14	16	1
SITE: 1	16	17	0
SITE: 50	51	53	0
SITE: 49	50	53	1
SITE: 48	49	53	0
SITE: 48	52	54	1
SITE: 39	41	42	1
SITE: 39	42	43	0
SITE: 34	38	40	1
SITE: 31	39	40	1
SITE: 31	40	43	1
SITE: 31	43	44	0
SITE: 34	44	46	0
SITE: 31	45	46	1
SITE: 18	19	22	1
SITE: 9	18	21	0
SITE: 1	17	21	0
SITE: 1	21	22	0
SITE: 29	30	34	1
SITE: 29	31	46	0
SITE: 28	29	46	0
SITE: 27	28	46	1
SITE: 25	27	34	0
SITE: 25	26	46	1
SITE: 24	25	46	0
SITE: 47	53	54	0
SITE: 48	55	58	0
SITE: 47	54	58	0
SITE: 47	58	63	1
SITE: 34	47	48	0
SITE: 24	46	48	0
SITE: 24	48	63	0
SITE: 23	24	63	0
SITE: 9	23	34	1
SITE: 9	22	63	1
SITE: 1	9	63	1
SITE: 0	1	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 34	34	34	0
MPS Info: -3.66131 0.827799 0.0169614 
Writing MPS done!
