LHHLLHHLLHHHHLLLLHLLLLHLHLHLLLHLLLLLLLHLHHLLHHHHHHLLHLHHHLHLLHHL
W_LIST: -2.14448 -2.24583 -1.39112 -3.20208 -4.14804 3.50326 0.52529 3.35459 1.16402 -0.0844762 -2.17378 -1.56963 -3.84585 -1.30603 -2.36537 -0.0984172 3.07641 -3.37442 -3.22062 2.9643 3.56767 3.00731 0.628457 0.668465 1.95217 3.57066 1.12516 -2.19779 -1.74983 -1.01683 -1.65391 1.2081 -1.7907 2.36999 -3.8065 2.97651 -2.69874 3.64492 -1.62657 -2.06556 -0.554261 1.74649 3.21594 -1.82713 -2.32152 0.681629 1.04395 -1.76989 -1.34889 2.42746 -1.62683 0.234337 0.876507 -1.7103 -0.672693 0.544799 -3.82437 2.74528 4.01977 4.31739 0.598823 4.32639 3.28606 -3.52178 
st	op	ed	phy
SITE: 35	37	38	1
SITE: 34	36	38	0
SITE: 33	34	38	0
SITE: 32	35	38	1
SITE: 31	33	38	1
SITE: 30	32	38	0
SITE: 60	61	63	0
SITE: 4	5	7	0
SITE: 40	42	43	1
SITE: 14	16	17	1
SITE: 15	17	19	1
SITE: 14	18	19	0
SITE: 59	62	63	0
SITE: 39	41	43	0
SITE: 54	56	57	1
SITE: 54	57	58	1
SITE: 55	59	60	1
SITE: 54	58	60	0
SITE: 54	60	63	1
SITE: 4	7	8	1
SITE: 13	14	19	0
SITE: 12	13	19	0
SITE: 11	12	19	1
SITE: 52	53	55	0
SITE: 52	55	63	0
SITE: 51	52	63	0
SITE: 49	50	54	0
SITE: 49	51	63	1
SITE: 48	49	63	0
SITE: 46	47	54	1
SITE: 46	48	63	1
SITE: 24	25	27	1
SITE: 31	38	40	1
SITE: 31	39	43	0
SITE: 30	31	43	1
SITE: 29	30	43	1
SITE: 44	45	54	0
SITE: 44	46	63	0
SITE: 40	43	54	0
SITE: 40	44	63	1
SITE: 29	40	63	0
SITE: 28	29	63	0
SITE: 26	27	54	0
SITE: 26	28	63	0
SITE: 24	26	63	0
SITE: 23	24	63	0
SITE: 21	23	54	1
SITE: 21	22	63	0
SITE: 20	21	63	1
SITE: 15	19	54	1
SITE: 15	20	63	1
SITE: 11	54	63	0
SITE: 3	4	8	0
SITE: 2	3	8	0
SITE: 1	2	8	1
SITE: 0	1	8	1
SITE: 9	10	15	1
SITE: 9	11	63	1
SITE: 8	9	63	1
SITE: 0	0	15	0
SITE: 6	63	63	0
SITE: 6	8	15	1
SITE: 6	6	15	0
SITE: 15	15	15	0
MPS Info: -15.6333 0.668951 0.178503 
Writing MPS done!
