HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 3.43661 -3.26987 -1.9294 4.09354 0.245179 -1.36732 -2.05569 4.11282 0.713226 3.08578 -0.892235 -0.796844 -2.4329 -1.15115 3.60212 -0.221062 1.68384 -1.06811 3.25264 2.87067 -0.733087 -2.00271 -1.70102 0.00743073 3.04032 -1.6748 3.37341 -2.06558 -2.00826 -0.059265 3.90579 0.607517 4.24344 3.88639 1.40802 3.54992 3.47351 1.78886 0.589154 -1.31074 -2.51071 0.855855 -2.52231 -4.28177 -3.73 -2.4744 -1.76258 -3.72382 0.0460478 2.09938 -2.30058 4.27502 -2.09099 3.37572 3.87425 -0.111385 0.447883 3.91382 3.65573 4.25169 0.105028 0.483354 -3.67967 -1.18831 
st	op	ed	phy
SITE: 50	51	53	0
SITE: 49	50	53	1
SITE: 47	49	52	0
SITE: 47	52	53	0
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	0	5	0
SITE: 46	47	53	0
SITE: 6	7	9	1
SITE: 4	6	8	0
SITE: 2	2	8	1
SITE: 5	9	10	0
SITE: 4	4	10	1
SITE: 23	24	26	0
SITE: 23	26	27	1
SITE: 22	25	27	0
SITE: 45	46	53	0
SITE: 44	45	53	1
SITE: 13	14	16	1
SITE: 15	16	18	1
SITE: 13	17	18	0
SITE: 15	18	20	1
SITE: 40	42	43	1
SITE: 41	43	48	0
SITE: 41	44	53	1
SITE: 40	48	53	0
SITE: 38	40	41	0
SITE: 38	41	53	0
SITE: 37	39	53	0
SITE: 36	37	53	1
SITE: 12	13	19	1
SITE: 11	12	19	0
SITE: 11	19	20	1
SITE: 38	54	55	0
SITE: 36	53	55	1
SITE: 38	55	57	1
SITE: 36	38	57	0
SITE: 11	15	21	1
SITE: 8	10	20	0
SITE: 5	5	20	1
SITE: 8	20	21	1
SITE: 11	21	23	1
SITE: 11	22	27	1
SITE: 8	8	27	0
SITE: 29	30	32	1
SITE: 23	27	29	0
SITE: 11	28	29	0
SITE: 23	29	32	0
SITE: 11	11	32	1
SITE: 31	32	34	0
SITE: 23	33	34	1
SITE: 23	31	35	0
SITE: 34	35	56	0
SITE: 34	36	57	1
SITE: 23	34	57	1
SITE: 23	57	58	0
SITE: 59	61	62	1
SITE: 59	62	63	0
SITE: 56	59	60	1
SITE: 23	58	60	1
SITE: 23	60	63	0
SITE: 23	56	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 23	23	23	0
MPS Info: -11.0098 0.792092 0.283931 
Writing MPS done!
