LHHLLHLHHHLHLLLLHHHLLHLLHLHHLHLLLHHLLHLHLLHHLHLHHHHHLHLHLLLHHHLH
W_LIST: -3.75977 2.65533 1.2012 3.34396 -0.123892 1.73317 -3.59334 -0.403287 3.15752 1.27873 0.0725065 2.98052 -2.07906 -1.92187 2.25143 0.475573 1.27415 2.23005 -0.874759 3.17084 -0.839319 1.91904 3.34026 3.6708 -3.2227 3.52698 -1.34509 -2.64096 -0.422777 2.63774 -3.20776 3.8901 2.47447 3.18519 -3.60194 0.101115 0.997718 3.94015 -3.73692 2.60539 0.524695 -2.27284 -2.52456 1.64998 -3.63889 -0.79282 -2.07246 -0.609934 0.310754 3.75787 1.60916 -2.44718 -1.48359 -1.07195 2.37654 3.53415 0.733824 -2.86136 -2.60508 -3.70821 2.83399 -2.25258 3.20993 1.96847 
st	op	ed	phy
SITE: 23	25	26	1
SITE: 5	6	8	0
SITE: 3	5	7	0
SITE: 3	4	8	1
SITE: 28	30	31	0
SITE: 36	37	39	0
SITE: 34	36	38	1
SITE: 34	38	39	0
SITE: 33	34	39	1
SITE: 33	39	40	0
SITE: 33	40	41	1
SITE: 27	29	31	0
SITE: 24	27	28	1
SITE: 24	26	31	1
SITE: 23	24	31	1
SITE: 42	44	45	0
SITE: 23	31	32	1
SITE: 28	33	35	0
SITE: 23	32	35	1
SITE: 23	35	41	0
SITE: 59	60	62	0
SITE: 48	49	51	0
SITE: 42	43	46	0
SITE: 28	41	45	0
SITE: 23	42	45	1
SITE: 23	28	46	0
SITE: 3	8	9	0
SITE: 7	9	11	0
SITE: 3	7	11	0
SITE: 3	11	12	0
SITE: 2	3	12	1
SITE: 0	0	10	0
SITE: 1	1	12	0
SITE: 18	19	21	1
SITE: 53	55	56	0
SITE: 53	54	57	1
SITE: 46	48	50	0
SITE: 46	50	51	0
SITE: 18	21	22	0
SITE: 20	22	45	1
SITE: 20	23	46	1
SITE: 18	20	46	0
SITE: 17	18	46	1
SITE: 59	62	63	1
SITE: 58	59	63	1
SITE: 56	57	61	0
SITE: 53	58	61	0
SITE: 53	61	63	1
SITE: 10	13	14	0
SITE: 2	12	14	0
SITE: 2	14	15	1
SITE: 2	2	16	0
SITE: 15	17	45	0
SITE: 15	16	46	0
SITE: 10	10	46	1
SITE: 46	51	52	1
SITE: 47	53	56	1
SITE: 47	52	63	0
SITE: 46	56	63	1
SITE: 45	46	63	0
SITE: 15	63	63	0
SITE: 15	45	47	0
WARN: Unitary gate is identity
SITE: 15	15	15	1
WARN: Unitary gate is identity
SITE: 47	47	47	0
MPS Info: 1.28216 0.497858 0.0522976 
Writing MPS done!
