HLHLHHLHLHHLLHHLHLLLHLLHHLLLHLLLHHHHHHLHLHLLLHLLLLLHLLLLLLLLHLLL
W_LIST: 0.79274 0.454936 -0.878515 -2.783 -2.09175 3.63775 -2.03702 -1.62001 -3.12415 3.75071 -2.36681 0.263338 2.77988 -0.86311 1.44537 1.23717 2.95449 -2.80395 -3.02337 0.9308 3.36061 -3.52954 0.215906 3.95195 -2.18408 -1.93112 -1.97603 1.46283 -2.18944 -2.01633 2.79849 2.98448 0.524001 -2.44863 3.24466 -2.37904 -3.20864 -0.747916 3.40986 2.96537 3.15036 1.23877 -3.35136 -0.730048 2.73268 -1.56752 -2.05793 2.03296 -1.35338 -3.28493 -2.99661 -2.02496 0.630489 1.69621 -0.140449 -2.55154 1.13906 -1.27318 -1.89371 0.642698 2.6584 0.276306 -1.20804 3.52014 
st	op	ed	phy
SITE: 20	21	23	0
SITE: 20	23	24	0
SITE: 18	20	22	0
SITE: 18	19	24	1
SITE: 16	18	22	0
SITE: 16	17	24	0
SITE: 15	16	24	0
SITE: 41	42	44	0
SITE: 41	44	45	1
SITE: 32	34	35	0
SITE: 31	33	35	1
SITE: 32	36	37	1
SITE: 31	35	37	1
SITE: 31	37	38	1
SITE: 8	9	11	0
SITE: 10	12	13	1
SITE: 8	10	13	1
SITE: 8	13	14	1
SITE: 11	15	22	1
SITE: 11	22	24	1
SITE: 8	11	24	0
SITE: 40	41	45	0
SITE: 60	62	63	0
SITE: 46	47	49	1
SITE: 43	46	48	0
SITE: 40	45	48	1
SITE: 40	48	49	0
SITE: 53	55	56	0
SITE: 53	56	57	1
SITE: 7	8	24	0
SITE: 5	6	14	0
SITE: 5	14	24	0
SITE: 4	5	24	0
SITE: 3	4	24	1
SITE: 2	3	24	0
SITE: 58	60	61	0
SITE: 58	61	63	1
SITE: 1	2	24	1
SITE: 29	31	32	1
SITE: 29	30	38	1
SITE: 39	40	49	1
SITE: 32	38	43	1
SITE: 32	39	49	0
SITE: 29	43	49	0
SITE: 54	58	59	0
SITE: 54	59	63	1
SITE: 53	57	63	0
SITE: 27	29	32	0
SITE: 27	28	49	1
SITE: 26	32	49	1
SITE: 0	0	24	0
SITE: 51	53	54	1
SITE: 51	54	63	0
SITE: 50	51	63	1
SITE: 27	50	52	0
SITE: 26	49	52	0
SITE: 26	27	63	1
SITE: 25	26	63	0
SITE: 7	24	52	1
SITE: 7	25	63	0
SITE: 1	63	63	1
SITE: 1	1	52	1
WARN: Unitary gate is identity
SITE: 7	7	7	1
WARN: Unitary gate is identity
SITE: 52	52	52	0
MPS Info: -15.9047 0.64257 1.25612e-05 
Writing MPS done!
