LLHHLLLLLHHHLLLLHHHHHHLLHLLHLHLLLLHLHHLLLLHLLLLLLLLHLHHLLHLLHHLH
W_LIST: 4.94794 1.23718 1.0481 -1.24686 -1.16211 1.67699 0.975553 -0.596574 0.867389 -4.61459 4.21653 -4.13815 -4.40937 0.0299529 -1.46992 -3.3316 -4.27681 -4.99325 -1.43485 4.49319 -0.589858 -2.28036 1.59235 -1.79265 1.06034 4.032 3.62594 4.77506 -4.58702 2.33513 3.30196 1.43079 1.85552 -2.20431 3.38843 -2.86855 -3.8215 -4.22307 0.125511 1.11074 -0.0689602 1.17212 -1.27133 -4.48624 3.33201 3.44547 -0.665311 -1.44766 -3.70484 -4.45505 1.43062 4.39747 3.54272 -1.46714 -3.6224 -3.88728 4.0104 2.77452 -2.97347 -1.66696 1.78774 0.83172 0.619781 -2.89369 
st	op	ed	phy
SITE: 55	56	58	1
SITE: 57	58	60	0
SITE: 55	57	60	0
SITE: 19	21	22	1
SITE: 18	19	22	0
SITE: 18	22	23	1
SITE: 18	23	24	0
SITE: 18	24	25	0
SITE: 17	18	25	1
SITE: 41	43	44	0
SITE: 32	34	35	0
SITE: 16	17	25	1
SITE: 14	16	20	1
SITE: 14	15	25	0
SITE: 12	14	20	0
SITE: 12	13	25	1
SITE: 10	12	20	0
SITE: 10	11	25	1
SITE: 9	10	25	0
SITE: 8	9	25	1
SITE: 32	35	36	0
SITE: 33	37	38	1
SITE: 32	36	38	1
SITE: 32	33	39	0
SITE: 30	32	38	1
SITE: 30	31	39	1
SITE: 28	30	38	1
SITE: 28	29	39	0
SITE: 27	28	39	0
SITE: 26	27	39	0
SITE: 20	25	38	1
SITE: 8	26	38	1
SITE: 8	20	39	1
SITE: 7	8	39	1
SITE: 6	7	39	0
SITE: 55	60	61	0
SITE: 40	41	44	1
SITE: 39	42	44	1
SITE: 38	39	44	1
SITE: 6	40	44	0
SITE: 49	51	52	0
SITE: 49	52	53	1
SITE: 49	50	54	1
SITE: 47	49	53	0
SITE: 47	48	54	0
SITE: 53	55	59	0
SITE: 53	54	61	1
SITE: 47	53	61	1
SITE: 45	47	59	0
SITE: 45	59	61	1
SITE: 38	44	46	1
SITE: 6	45	46	1
SITE: 6	46	61	0
SITE: 38	61	63	0
SITE: 6	62	63	1
SITE: 4	5	38	1
SITE: 4	6	63	1
SITE: 0	0	3	1
SITE: 2	4	38	0
SITE: 2	3	63	1
SITE: 1	63	63	1
SITE: 1	1	38	1
WARN: Unitary gate is identity
SITE: 38	38	38	0
WARN: Unitary gate is identity
SITE: 2	2	2	1
MPS Info: -10.8273 0.620539 0.0346317 
Writing MPS done!
