HHHLHHLHLHHHHHHHHLLHLHLHLLLLLHLLLLHLHLHHLLLLLHLHHLHLLHLLLHHHLHHH
W_LIST: -2.76016 4.13719 -1.6556 -1.18097 0.856488 5.14808 3.44755 4.70387 3.46067 3.61074 -5.48771 2.54327 -4.24279 -3.26911 5.29288 -3.78074 -4.21538 -0.00737783 1.74209 -2.21021 4.66807 0.974668 -3.57937 4.75497 -0.348142 -0.826168 4.37474 -1.89119 0.0104262 -0.831776 5.32122 -2.26686 -1.7388 0.995522 -4.00911 5.92146 5.3016 -1.46035 0.868088 4.42538 5.66687 -5.98783 3.32565 1.39742 -1.94526 4.28262 -5.70858 3.95864 -5.41317 -3.14488 4.09423 -4.14915 -2.02377 -2.29361 -2.97629 -0.2621 4.84477 -0.00664687 -0.599598 4.20154 -4.11737 3.80653 0.589012 4.33251 
st	op	ed	phy
SITE: 9	10	12	1
SITE: 47	48	50	1
SITE: 46	49	50	0
SITE: 46	50	51	0
SITE: 45	46	51	0
SITE: 44	45	51	0
SITE: 19	20	22	1
SITE: 21	23	24	0
SITE: 18	19	22	1
SITE: 18	22	24	0
SITE: 43	47	51	0
SITE: 41	42	44	1
SITE: 41	44	51	0
SITE: 40	41	51	0
SITE: 38	40	43	1
SITE: 38	39	51	0
SITE: 36	37	43	0
SITE: 36	38	51	0
SITE: 21	25	26	0
SITE: 18	21	26	0
SITE: 18	26	27	1
SITE: 16	18	24	1
SITE: 16	24	27	1
SITE: 32	34	35	1
SITE: 33	36	43	0
SITE: 33	35	51	1
SITE: 32	43	51	1
SITE: 16	27	28	0
SITE: 17	29	30	1
SITE: 16	17	30	0
SITE: 16	30	31	1
SITE: 28	31	33	0
SITE: 28	32	51	0
SITE: 16	33	51	1
SITE: 59	60	62	0
SITE: 58	59	62	0
SITE: 54	56	57	1
SITE: 55	57	61	1
SITE: 55	61	62	0
SITE: 54	55	62	0
SITE: 54	62	63	0
SITE: 16	51	52	0
SITE: 11	12	14	1
SITE: 9	13	14	1
SITE: 9	14	15	0
SITE: 11	16	28	1
SITE: 11	15	52	1
SITE: 9	11	52	0
SITE: 9	52	53	0
SITE: 28	54	58	0
SITE: 9	53	58	1
SITE: 9	58	63	1
SITE: 3	5	6	0
SITE: 3	6	7	1
SITE: 3	7	8	0
SITE: 4	8	28	1
SITE: 4	9	63	0
SITE: 3	4	63	0
SITE: 1	2	28	1
SITE: 1	3	63	0
SITE: 0	63	63	0
SITE: 0	1	28	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 28	28	28	1
MPS Info: 10.0321 0.294569 0.0103261 
Writing MPS done!
