LHLLLHHHLHLHHHHHHHLLHLHHLHHHHLLHLLHHLHHHHLLHHHLHLHLHLLLLHLLLLLLL
W_LIST: -2.06671 -1.23041 0.44604 2.86279 3.29153 -4.75154 -5.18302 -4.47586 -1.58919 0.567932 2.42262 2.9716 1.34037 -3.18327 -5.79951 -1.44872 -0.187242 -5.92905 -4.26996 -4.66211 4.68428 5.39776 2.32946 -0.411426 2.65499 5.86642 5.62088 2.98208 -0.132817 -5.10102 -3.59719 2.20026 -3.19424 1.83602 3.68115 -3.36072 -0.877295 -2.48911 2.09621 -2.35624 4.58246 -4.08148 -2.25491 -2.36313 -2.72595 -2.26668 -2.46416 2.87563 2.56001 1.47327 3.72079 5.29049 5.93143 0.525432 -2.85605 -3.0258 0.0127615 3.04104 3.99862 -0.634872 0.408932 -3.12356 1.5281 -3.97412 
st	op	ed	phy
SITE: 38	40	41	0
SITE: 37	38	41	0
SITE: 32	34	35	0
SITE: 28	29	31	0
SITE: 27	30	31	0
SITE: 28	32	33	0
SITE: 27	31	33	0
SITE: 27	33	35	1
SITE: 26	27	35	0
SITE: 26	35	36	1
SITE: 60	61	63	0
SITE: 14	15	17	1
SITE: 12	14	16	1
SITE: 12	13	17	1
SITE: 11	12	17	0
SITE: 11	17	18	1
SITE: 9	11	16	0
SITE: 9	10	18	1
SITE: 7	8	16	0
SITE: 7	16	18	1
SITE: 28	37	39	1
SITE: 26	36	39	0
SITE: 26	39	41	1
SITE: 26	41	42	0
SITE: 58	60	62	1
SITE: 58	62	63	1
SITE: 6	7	18	1
SITE: 4	6	9	1
SITE: 4	5	18	1
SITE: 22	24	25	1
SITE: 23	26	28	0
SITE: 23	25	42	0
SITE: 22	23	42	1
SITE: 21	22	42	0
SITE: 19	21	28	1
SITE: 19	20	42	0
SITE: 9	18	28	0
SITE: 9	19	42	0
SITE: 4	28	42	0
SITE: 57	58	63	1
SITE: 55	57	59	1
SITE: 55	59	63	0
SITE: 53	55	56	0
SITE: 53	54	63	0
SITE: 52	53	63	1
SITE: 4	42	43	0
SITE: 4	43	44	1
SITE: 4	44	45	1
SITE: 9	45	47	1
SITE: 4	46	47	0
SITE: 4	47	48	0
SITE: 4	48	49	1
SITE: 4	49	50	0
SITE: 4	50	51	1
SITE: 9	52	56	1
SITE: 9	51	63	0
SITE: 4	9	63	0
SITE: 2	3	56	1
SITE: 2	4	63	1
SITE: 1	56	63	0
SITE: 0	63	63	0
SITE: 0	0	2	0
SITE: 1	1	2	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
MPS Info: 3.98189 0.526994 0.0385534 
Writing MPS done!
