HHHHLLHHLLHHLHHLLHHHHLLHLHLHLLLLLHLHHHLLHLLLHLLLHHHHLLLHLHHLHLHL
W_LIST: 4.86775 5.0936 -2.53751 -4.69962 3.64191 4.25217 4.5113 -0.273202 -4.08784 -5.86019 -2.47412 -4.74503 -2.82806 -2.32481 3.27665 -2.1285 4.09411 -5.14581 -4.39046 -5.18106 4.84639 1.62864 1.41782 -4.07536 -3.3137 0.792281 -5.91772 3.71488 -1.56524 0.20649 3.21868 -1.12863 -5.74867 -1.75896 -3.41619 -0.182463 -2.66623 -0.77673 2.37738 1.82753 5.73841 2.98199 1.93958 -3.96856 1.46722 4.24032 5.98005 4.04554 -1.70821 -0.345214 -0.0136245 3.68688 1.48339 4.71583 -1.6536 5.33715 -0.307313 -2.48205 1.98081 -0.999 -2.32804 -0.424461 -1.08107 -3.04033 
st	op	ed	phy
SITE: 1	3	4	1
SITE: 25	26	28	0
SITE: 24	27	28	0
SITE: 14	16	17	1
SITE: 13	14	17	0
SITE: 55	57	58	1
SITE: 54	55	58	0
SITE: 53	54	58	0
SITE: 52	53	58	1
SITE: 50	51	56	0
SITE: 50	52	58	1
SITE: 50	58	59	0
SITE: 25	28	30	0
SITE: 24	25	30	0
SITE: 24	30	31	1
SITE: 24	31	32	0
SITE: 24	32	33	0
SITE: 22	23	29	1
SITE: 22	24	33	0
SITE: 29	34	35	0
SITE: 22	33	35	1
SITE: 22	35	36	0
SITE: 29	36	38	1
SITE: 22	37	38	1
SITE: 50	59	60	0
SITE: 7	9	10	0
SITE: 6	8	10	0
SITE: 6	10	11	1
SITE: 6	11	12	1
SITE: 50	60	61	1
SITE: 6	12	13	0
SITE: 7	15	17	0
SITE: 6	13	17	1
SITE: 43	45	46	1
SITE: 42	43	46	0
SITE: 44	46	48	1
SITE: 42	47	48	1
SITE: 42	48	49	1
SITE: 44	49	56	1
SITE: 44	56	61	0
SITE: 42	44	61	0
SITE: 6	17	18	1
SITE: 7	19	20	1
SITE: 6	18	20	1
SITE: 6	20	21	0
SITE: 7	21	29	1
SITE: 7	22	38	1
SITE: 6	29	38	1
SITE: 1	4	5	1
SITE: 2	6	7	0
SITE: 2	5	38	1
SITE: 1	2	38	1
SITE: 7	38	40	1
SITE: 1	39	40	1
SITE: 1	40	41	0
SITE: 7	41	50	1
SITE: 7	42	61	1
SITE: 1	7	61	0
SITE: 50	62	63	1
SITE: 1	61	63	0
SITE: 0	0	63	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 50	50	50	0
MPS Info: 1.35168 0.231095 0.00276346 
Writing MPS done!
