LHHHLLLHHLHLLHLLLHHHLLHHLLHHHHHLLHLLLLLLHHLLLHLLHLLHHLLLLHHLLHLL
W_LIST: 3.93768 -6.76177 5.97704 -2.81771 -5.28539 6.88869 2.8147 0.0682813 -1.06396 -1.91154 -5.89984 -2.28765 -2.96047 -2.06128 3.70552 -5.79876 -6.67684 -1.90949 5.28642 -3.63811 -1.22295 0.441829 -2.5372 -1.93307 -2.09224 -4.32356 2.54588 -0.710267 -2.91238 -4.13423 -0.876159 4.55887 -3.7439 4.32168 -1.66771 -0.602698 6.03279 5.29237 -1.91316 -0.295192 -1.5286 -3.06454 -5.05635 1.85257 -4.20843 -2.71849 3.58025 -3.49302 -4.52964 6.61823 -2.84782 -1.11471 6.05752 -1.12048 5.98265 6.26858 -2.00126 -0.78408 -4.81923 4.15837 3.60842 2.95161 5.86014 3.46106 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 2	4	5	0
SITE: 0	2	5	0
SITE: 0	5	6	1
SITE: 16	18	19	0
SITE: 31	33	34	0
SITE: 30	31	34	1
SITE: 49	50	52	0
SITE: 48	49	52	1
SITE: 48	52	53	0
SITE: 46	48	51	1
SITE: 46	47	53	0
SITE: 45	46	53	1
SITE: 45	53	54	0
SITE: 43	44	51	0
SITE: 43	45	54	1
SITE: 42	43	54	1
SITE: 29	32	34	0
SITE: 41	42	54	0
SITE: 30	34	36	0
SITE: 29	30	36	1
SITE: 35	36	38	1
SITE: 29	37	38	1
SITE: 0	0	7	1
SITE: 29	38	39	0
SITE: 55	56	58	0
SITE: 51	55	57	1
SITE: 41	54	57	1
SITE: 41	57	58	1
SITE: 41	58	59	1
SITE: 16	19	20	1
SITE: 17	20	22	0
SITE: 16	17	22	1
SITE: 14	16	21	0
SITE: 14	15	22	0
SITE: 13	14	22	1
SITE: 27	29	35	1
SITE: 27	28	39	1
SITE: 25	26	35	0
SITE: 25	27	39	1
SITE: 25	39	40	1
SITE: 35	41	51	1
SITE: 25	40	51	1
SITE: 25	35	59	0
SITE: 24	25	59	0
SITE: 3	6	8	1
SITE: 13	22	23	1
SITE: 21	23	51	1
SITE: 13	24	51	0
SITE: 13	21	59	1
SITE: 7	9	10	0
SITE: 3	3	10	1
SITE: 7	10	11	1
SITE: 12	13	59	1
SITE: 8	12	51	0
SITE: 8	11	59	0
SITE: 7	8	59	1
SITE: 60	62	63	1
SITE: 51	60	61	1
SITE: 7	59	61	1
SITE: 7	63	63	1
SITE: 7	61	61	0
SITE: 7	7	51	1
WARN: Unitary gate is identity
SITE: 51	51	51	1
MPS Info: -28.3184 0.474676 0.0791281 
Writing MPS done!
