HLLHHHHHLLHHHHHHHLHLLLLLHLHHLHLLHLHHHLHHLLLHLHLLLLHHHLLLHLHHLHLH
W_LIST: -1.84879 -2.15507 2.65492 4.25887 -1.02408 -3.43566 -5.28879 -1.99625 4.09878 6.76354 0.943231 -1.53806 6.81006 -1.91105 -1.70615 5.28228 0.372393 -5.27242 -5.23467 -0.928923 5.80542 1.18223 0.803266 3.02574 -3.83676 -6.61153 4.72663 -6.18203 -3.16305 2.39459 4.51662 -1.62369 -6.29093 5.79256 -2.20974 -2.8465 -4.78028 3.49204 0.236041 -5.16303 -3.42631 -6.72844 6.17769 2.27162 -5.57463 -0.17976 -4.74201 -5.38828 2.42342 0.699993 -3.50135 -5.59534 5.97911 3.81284 -0.806925 -5.56791 -3.45727 -2.45062 3.22766 -4.30535 -2.47055 4.82396 -6.49646 2.92448 
st	op	ed	phy
SITE: 41	42	44	1
SITE: 60	62	63	0
SITE: 41	44	45	0
SITE: 41	43	46	0
SITE: 30	32	33	1
SITE: 30	33	34	1
SITE: 23	25	26	0
SITE: 23	26	27	0
SITE: 24	27	29	1
SITE: 23	28	29	0
SITE: 24	30	31	1
SITE: 23	24	31	1
SITE: 23	31	34	0
SITE: 36	37	39	1
SITE: 14	15	17	0
SITE: 58	59	61	1
SITE: 58	61	63	0
SITE: 57	58	63	0
SITE: 40	41	46	0
SITE: 38	39	45	1
SITE: 38	40	46	0
SITE: 36	38	46	1
SITE: 9	11	12	1
SITE: 9	12	13	0
SITE: 10	13	16	1
SITE: 10	14	17	1
SITE: 9	16	17	0
SITE: 7	9	10	1
SITE: 7	8	17	1
SITE: 51	52	54	0
SITE: 51	53	55	1
SITE: 49	51	54	1
SITE: 49	50	55	1
SITE: 47	48	54	1
SITE: 47	54	55	0
SITE: 45	47	49	0
SITE: 45	46	55	0
SITE: 36	45	55	0
SITE: 18	20	21	1
SITE: 6	7	17	1
SITE: 5	6	17	1
SITE: 3	5	10	1
SITE: 3	4	17	1
SITE: 1	3	10	0
SITE: 1	2	17	1
SITE: 35	36	55	1
SITE: 29	35	49	1
SITE: 23	34	49	1
SITE: 23	29	55	0
SITE: 22	23	55	1
SITE: 19	21	49	1
SITE: 19	22	55	0
SITE: 18	19	55	0
SITE: 10	17	49	0
SITE: 1	18	49	1
SITE: 1	49	55	0
SITE: 1	55	56	0
SITE: 10	56	60	1
SITE: 1	57	60	0
SITE: 1	60	63	0
SITE: 0	63	63	0
SITE: 0	1	10	0
SITE: 0	0	10	1
WARN: Unitary gate is identity
SITE: 10	10	10	0
MPS Info: 0.925325 0.0996627 0.0620059 
Writing MPS done!
