LHHLLHHHHLHHHHLHHHLLLHLHHHLHLLLLLHHHHHLHLLLLLLLHHLLLHHHHHHLHHHHH
W_LIST: 0.15911 5.72185 -6.81734 6.16282 2.53175 -5.73812 0.380141 -2.64977 2.91342 7.0712 1.2211 0.821004 -7.156 -4.87389 -6.38853 4.96689 2.21068 -4.47978 6.39508 3.76442 -1.87316 -1.23897 -0.225516 5.33832 5.51702 6.74293 -1.64386 0.238729 0.873358 -7.49354 4.60543 2.17485 6.41427 -3.71565 -3.48708 -0.411676 -3.85784 4.22544 -6.21125 6.59025 -1.93774 4.57814 -2.08249 0.42648 2.09042 -2.99404 4.92204 -4.22376 0.943367 0.0979249 7.69962 -6.17004 -2.42953 -3.97238 3.31014 -7.76724 -4.54826 5.705 3.61122 2.62053 -0.647646 -1.34409 -4.84915 7.61641 
st	op	ed	phy
SITE: 36	38	39	0
SITE: 36	39	40	0
SITE: 54	55	57	1
SITE: 2	3	5	1
SITE: 1	2	5	1
SITE: 36	37	41	0
SITE: 1	5	6	1
SITE: 0	1	6	0
SITE: 36	41	42	1
SITE: 4	7	8	1
SITE: 0	4	8	1
SITE: 6	9	10	1
SITE: 0	8	10	0
SITE: 14	15	17	0
SITE: 14	17	18	1
SITE: 16	18	20	1
SITE: 14	19	20	1
SITE: 44	46	47	1
SITE: 44	47	48	1
SITE: 29	30	32	1
SITE: 29	32	33	1
SITE: 28	29	33	0
SITE: 49	50	52	1
SITE: 45	48	51	0
SITE: 45	51	52	0
SITE: 44	45	52	0
SITE: 49	53	54	1
SITE: 44	52	54	1
SITE: 44	54	56	0
SITE: 44	56	57	1
SITE: 35	36	42	1
SITE: 42	44	49	1
SITE: 42	49	57	0
SITE: 35	42	43	0
SITE: 35	40	57	0
SITE: 34	35	57	1
SITE: 31	33	43	1
SITE: 31	34	57	1
SITE: 28	31	57	1
SITE: 28	57	58	0
SITE: 43	58	60	1
SITE: 28	59	60	0
SITE: 43	61	62	1
SITE: 28	60	62	1
SITE: 28	62	63	1
SITE: 12	14	16	0
SITE: 12	13	20	1
SITE: 11	12	20	1
SITE: 26	28	43	1
SITE: 26	43	63	1
SITE: 25	26	63	0
SITE: 24	25	63	0
SITE: 11	20	21	0
SITE: 16	21	23	1
SITE: 11	16	23	0
SITE: 22	24	27	0
SITE: 22	23	63	0
SITE: 11	27	63	0
SITE: 10	22	63	1
SITE: 0	10	11	0
SITE: 0	63	63	0
SITE: 0	0	11	1
SITE: 6	11	11	0
WARN: Unitary gate is identity
SITE: 6	6	6	1
MPS Info: 19.7582 0.163997 8.70809e-06 
Writing MPS done!
