LHHLLHLLLLHLLLLLHLLLHHHLLHHLLLHHHHLLHLLLHHLLLLLLLHHHHLLHHHLLLHLH
W_LIST: 6.20846 -2.87412 -3.74606 5.39239 -3.94991 5.27799 2.38884 -0.438241 -7.91407 3.21602 0.00188707 3.38225 -5.2192 -1.15391 -7.0585 2.02115 0.763215 2.91427 1.87293 1.51563 6.82928 6.42818 7.82405 5.46127 -0.347288 -7.24501 4.35554 3.41418 -5.33383 -0.494313 -5.85909 3.7497 7.34505 0.706083 -6.24224 -2.63924 0.390104 7.64575 -0.992828 -7.28009 -0.928656 -0.813475 4.09359 5.46962 0.260794 1.20296 1.51361 -3.15414 2.44777 -7.78219 7.51717 -5.119 6.29562 6.18601 0.520732 -7.52778 2.06475 1.77157 -5.13262 1.04264 3.49215 2.35201 3.84448 -0.337203 
st	op	ed	phy
SITE: 49	50	52	0
SITE: 48	49	52	1
SITE: 47	51	52	1
SITE: 23	25	26	1
SITE: 30	32	33	0
SITE: 30	31	34	0
SITE: 29	30	34	1
SITE: 27	28	33	0
SITE: 27	33	34	0
SITE: 24	27	29	1
SITE: 24	26	34	0
SITE: 23	24	34	0
SITE: 53	55	56	1
SITE: 36	37	39	1
SITE: 36	39	40	0
SITE: 11	12	14	0
SITE: 11	14	15	0
SITE: 10	11	15	1
SITE: 8	9	13	1
SITE: 8	10	15	1
SITE: 7	8	15	0
SITE: 2	3	5	1
SITE: 0	0	4	1
SITE: 46	47	52	0
SITE: 23	34	35	0
SITE: 29	35	38	0
SITE: 23	36	38	0
SITE: 23	38	40	0
SITE: 2	5	6	0
SITE: 4	6	13	1
SITE: 4	7	15	0
SITE: 2	4	15	0
SITE: 1	2	15	1
SITE: 41	43	44	1
SITE: 29	41	42	1
SITE: 23	40	42	1
SITE: 23	42	44	1
SITE: 57	58	60	0
SITE: 54	57	59	0
SITE: 53	56	59	0
SITE: 53	59	60	1
SITE: 22	23	44	1
SITE: 1	1	16	1
SITE: 22	44	45	0
SITE: 29	46	48	1
SITE: 22	45	48	1
SITE: 22	48	52	1
SITE: 21	22	52	0
SITE: 13	15	17	1
SITE: 13	17	18	1
SITE: 54	60	62	1
SITE: 53	61	62	0
SITE: 53	62	63	1
SITE: 29	53	54	1
SITE: 21	52	54	0
SITE: 21	54	63	0
SITE: 19	20	29	0
SITE: 19	21	63	0
SITE: 16	19	29	1
SITE: 16	18	63	1
SITE: 13	63	63	1
SITE: 13	16	29	1
WARN: Unitary gate is identity
SITE: 29	29	29	0
WARN: Unitary gate is identity
SITE: 13	13	13	0
MPS Info: -15.007 0.164357 4.12081e-05 
Writing MPS done!
