LLLHLLHLHLHHHHLHLLLLHHLHLLLLHLLHHLHLHHHLLLHHLHLHHHHLHLLLHHHHHHLL
W_LIST: -6.22058 4.30858 -8.78834 4.09727 -6.02038 1.42101 -4.93697 -1.40499 2.3406 -3.45545 4.03746 2.52989 -5.11366 -5.16121 5.21647 5.33283 -0.407473 -0.246039 2.64928 4.04036 6.95348 6.19274 -5.09557 4.63163 8.46839 -3.31701 2.82368 0.543369 0.445368 -6.43992 -1.26294 1.19838 1.75814 -1.02822 6.91554 0.72871 8.48908 0.895765 -2.38222 8.98295 -6.24648 3.29921 3.73012 -4.62225 -0.575841 8.07183 -0.296132 -8.81302 3.96071 -0.571768 7.26166 1.45735 -8.90124 6.10247 -4.82517 7.89796 3.76318 8.84696 3.30595 2.81155 -1.75497 8.50006 -1.93373 -4.58138 
st	op	ed	phy
SITE: 52	53	55	1
SITE: 51	52	55	1
SITE: 49	50	54	0
SITE: 49	54	55	0
SITE: 47	48	51	0
SITE: 47	51	55	1
SITE: 45	47	49	1
SITE: 45	46	55	0
SITE: 44	45	55	0
SITE: 42	43	49	1
SITE: 42	44	55	0
SITE: 38	39	41	1
SITE: 36	38	40	1
SITE: 36	40	41	0
SITE: 37	41	49	1
SITE: 36	42	49	0
SITE: 36	37	55	0
SITE: 35	36	55	0
SITE: 33	34	49	0
SITE: 33	35	55	1
SITE: 22	24	25	1
SITE: 21	22	25	0
SITE: 21	23	26	0
SITE: 2	4	5	0
SITE: 1	2	5	0
SITE: 1	3	6	0
SITE: 0	0	6	0
SITE: 33	55	56	1
SITE: 33	56	57	0
SITE: 33	57	58	0
SITE: 59	61	62	0
SITE: 49	58	60	0
SITE: 33	59	60	0
SITE: 33	60	62	1
SITE: 1	1	7	1
SITE: 6	8	9	0
SITE: 5	6	9	1
SITE: 5	9	10	0
SITE: 7	10	12	0
SITE: 5	11	12	0
SITE: 33	62	63	0
SITE: 7	13	14	1
SITE: 5	12	14	1
SITE: 7	15	16	0
SITE: 5	14	16	1
SITE: 32	33	63	0
SITE: 21	25	27	0
SITE: 28	29	31	0
SITE: 30	32	49	0
SITE: 30	31	63	0
SITE: 28	30	63	0
SITE: 26	28	49	0
SITE: 26	27	63	1
SITE: 21	26	63	1
SITE: 17	19	20	1
SITE: 18	21	49	0
SITE: 18	20	63	0
SITE: 17	18	63	1
SITE: 7	17	49	0
SITE: 7	49	63	0
SITE: 5	63	63	0
SITE: 5	5	16	1
WARN: Unitary gate is identity
SITE: 7	7	7	0
WARN: Unitary gate is identity
SITE: 16	16	16	1
MPS Info: 15.0365 0.144115 3.60596e-09 
Writing MPS done!
