LLLHLLLLHLHLLLLLHLLHHLHLHLLLHLHHLHLLLHHLHHLLHHHHLHHLLLLLHHLLLLHH
W_LIST: -6.85481 0.561014 8.39555 -5.67101 -7.83342 0.539966 4.90404 -1.57143 -3.20252 3.36115 -6.53592 6.37505 -8.37265 -0.78308 -2.49511 -1.73408 7.02743 3.7485 2.03475 4.99372 7.78021 -2.22977 8.25508 -6.85443 -0.371911 -3.99511 -5.62318 -2.91937 -6.86001 -8.17159 -6.10195 -4.97891 -0.469485 5.83735 3.11908 -4.66219 -0.634494 2.4289 6.25177 5.12016 -7.55117 -7.47708 7.12198 1.59006 -4.39071 -1.94247 3.16934 7.95354 -3.40719 0.953938 6.21617 -3.12104 0.813742 5.8735 1.30729 -7.05098 -8.66921 2.27916 3.81511 8.1545 -4.91352 -2.93453 -8.04046 3.78092 
st	op	ed	phy
SITE: 9	10	12	1
SITE: 9	12	13	0
SITE: 0	2	3	1
SITE: 8	11	13	1
SITE: 1	4	5	0
SITE: 0	0	5	0
SITE: 3	6	7	1
SITE: 1	3	7	1
SITE: 21	22	24	0
SITE: 20	23	24	0
SITE: 41	42	44	1
SITE: 5	8	9	1
SITE: 5	9	13	1
SITE: 1	7	13	0
SITE: 47	48	50	0
SITE: 47	50	51	0
SITE: 46	47	51	0
SITE: 45	46	51	0
SITE: 43	44	49	1
SITE: 43	49	51	0
SITE: 41	45	51	1
SITE: 43	51	53	0
SITE: 41	52	53	1
SITE: 43	53	55	1
SITE: 41	54	55	1
SITE: 20	21	25	0
SITE: 32	33	35	0
SITE: 31	34	35	1
SITE: 31	35	36	0
SITE: 43	56	57	1
SITE: 41	55	57	0
SITE: 43	58	59	1
SITE: 41	57	59	0
SITE: 41	59	60	1
SITE: 43	60	62	0
SITE: 41	61	62	0
SITE: 41	62	63	1
SITE: 32	37	38	0
SITE: 31	36	38	1
SITE: 32	38	40	0
SITE: 31	39	40	1
SITE: 32	41	43	1
SITE: 32	40	63	1
SITE: 31	43	63	1
SITE: 19	20	25	0
SITE: 18	19	25	0
SITE: 16	17	24	1
SITE: 16	18	25	1
SITE: 15	16	25	0
SITE: 1	1	14	1
SITE: 13	14	24	0
SITE: 5	15	24	0
SITE: 5	5	25	1
SITE: 24	26	27	0
SITE: 13	25	27	0
SITE: 13	27	28	0
SITE: 13	28	29	1
SITE: 13	29	30	0
SITE: 24	30	32	1
SITE: 13	31	32	1
SITE: 13	63	63	0
SITE: 13	24	32	0
WARN: Unitary gate is identity
SITE: 32	32	32	0
WARN: Unitary gate is identity
SITE: 13	13	13	1
MPS Info: -4.49861 0.122848 0.0497028 
Writing MPS done!
