LLLHLHHHHLHLLHHLLHHHHLLLHLHHHLLHLHHHLHLHLLLLLHHLHLLLHLLLHLLLHHLH
W_LIST: -4.77644e-05 -9.14568e-05 -2.98604e-05 -4.68169e-05 -4.07614e-05 -1.6646e-05 -6.52047e-05 -2.20644e-05 -5.77197e-05 2.91141e-05 -7.08323e-05 -9.69312e-05 -7.97659e-05 -4.23238e-05 -8.32064e-05 -3.26426e-05 -9.96038e-05 6.0973e-05 -2.26723e-05 -8.41887e-05 -1.99023e-05 -5.71514e-05 7.74289e-05 -5.26563e-05 -8.03588e-05 -6.56531e-05 4.94488e-05 5.88614e-05 -2.0119e-05 -1.86731e-05 -7.47547e-05 -4.94009e-06 -3.51678e-05 -6.43369e-05 2.26358e-05 -1.62838e-05 1.30167e-05 2.99196e-05 -1.15486e-05 1.30264e-05 -5.91763e-05 7.02687e-05 -3.51507e-05 -9.45332e-06 5.69821e-05 -5.64405e-05 -3.55167e-05 -8.74489e-05 -6.06859e-05 1.82346e-06 1.5333e-05 -3.18703e-05 9.32566e-05 -3.88628e-05 6.74297e-05 -9.58932e-05 9.62118e-05 -6.83547e-05 4.1421e-05 -1.51328e-05 -2.73966e-05 8.16794e-05 -5.71463e-05 9.5437e-05 
st	op	ed	phy
SITE: 22	24	25	1
SITE: 22	25	26	0
SITE: 20	22	23	1
SITE: 19	21	23	0
SITE: 19	23	26	0
SITE: 18	20	26	0
SITE: 17	19	26	0
SITE: 17	26	27	0
SITE: 16	18	27	0
SITE: 17	28	29	0
SITE: 16	27	29	0
SITE: 17	29	31	1
SITE: 16	30	31	0
SITE: 16	31	32	0
SITE: 17	32	34	1
SITE: 16	33	34	1
SITE: 16	34	35	1
SITE: 15	16	35	1
SITE: 14	17	35	1
SITE: 14	35	36	1
SITE: 13	15	36	0
SITE: 14	36	38	0
SITE: 13	37	38	0
SITE: 14	39	40	0
SITE: 13	14	40	0
SITE: 13	38	41	1
SITE: 13	40	42	1
SITE: 12	41	42	0
SITE: 13	42	44	1
SITE: 12	43	44	0
SITE: 12	44	45	1
SITE: 13	45	47	1
SITE: 12	46	47	1
SITE: 12	13	48	1
SITE: 12	48	49	1
SITE: 12	49	50	0
SITE: 12	50	51	1
SITE: 12	51	52	0
SITE: 12	52	53	0
SITE: 11	12	53	1
SITE: 10	11	53	0
SITE: 8	10	47	0
SITE: 8	9	53	1
SITE: 7	8	53	1
SITE: 6	7	53	1
SITE: 5	6	53	0
SITE: 4	5	53	1
SITE: 3	4	53	1
SITE: 2	3	53	1
SITE: 1	2	53	0
SITE: 0	1	53	1
SITE: 0	53	54	1
SITE: 0	54	55	0
SITE: 0	55	56	1
SITE: 0	56	57	1
SITE: 47	57	59	0
SITE: 0	58	59	1
SITE: 0	59	60	0
SITE: 47	60	62	0
SITE: 0	61	62	0
SITE: 0	63	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 47	47	47	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
MPS Info: -1.29184 3.82567 1.68287 
Writing MPS done!
