LLLLLHLLHHLHHLHLLHHLLLLHLHLHLHLLHLLLLLLLHLHLHLLHLLHLLLHLLLLLHLLL
W_LIST: -9.92794e-05 -1.48465e-05 2.3229e-05 2.19682e-06 3.17941e-05 -6.40128e-05 -5.78251e-05 8.85309e-05 -6.72547e-05 -6.12269e-05 6.37011e-05 5.6556e-05 -7.91347e-05 -1.15624e-05 -5.79773e-05 -9.70016e-05 -5.61886e-05 3.90391e-05 2.301e-05 -6.27844e-05 8.59064e-05 2.77885e-05 9.47619e-05 9.60528e-05 9.57633e-05 -6.74764e-05 9.59823e-05 5.11993e-06 -7.14476e-05 5.15128e-05 2.94809e-05 -4.225e-06 4.32983e-05 3.68428e-05 -2.16858e-05 5.76037e-05 -1.08682e-06 6.12799e-05 2.85269e-05 8.29448e-05 -4.77551e-05 5.33765e-05 6.51515e-05 -5.69812e-05 -2.27629e-05 -3.273e-06 -7.29325e-05 -7.55271e-05 9.63697e-05 5.66609e-05 8.15166e-05 5.06671e-05 -5.61316e-05 -2.87068e-05 1.05173e-05 1.37792e-05 6.47424e-05 -7.62657e-05 8.91162e-05 5.18193e-05 -5.4714e-06 -1.60285e-06 7.93588e-05 -8.11024e-05 
st	op	ed	phy
SITE: 50	52	53	0
SITE: 50	51	54	1
SITE: 49	50	54	1
SITE: 49	53	55	1
SITE: 47	48	54	0
SITE: 47	54	55	1
SITE: 46	47	55	0
SITE: 44	46	49	1
SITE: 44	45	55	0
SITE: 43	44	55	0
SITE: 42	43	55	1
SITE: 41	42	55	1
SITE: 40	41	55	0
SITE: 39	40	55	0
SITE: 37	39	49	1
SITE: 37	38	55	0
SITE: 36	37	55	1
SITE: 36	49	56	0
SITE: 36	56	57	1
SITE: 36	57	58	0
SITE: 35	36	58	0
SITE: 35	58	59	1
SITE: 35	59	60	0
SITE: 35	60	61	0
SITE: 34	35	61	1
SITE: 33	34	61	0
SITE: 32	33	61	1
SITE: 31	32	61	1
SITE: 30	55	61	0
SITE: 31	61	63	1
SITE: 30	31	63	0
SITE: 28	30	62	1
SITE: 28	62	63	0
SITE: 27	28	63	1
SITE: 26	29	63	1
SITE: 25	27	63	1
SITE: 24	26	63	0
SITE: 23	25	63	0
SITE: 22	24	63	1
SITE: 20	22	23	0
SITE: 20	21	63	1
SITE: 19	20	63	0
SITE: 17	19	23	1
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 14	16	23	0
SITE: 14	15	63	1
SITE: 13	14	63	1
SITE: 12	23	63	1
SITE: 11	13	63	0
SITE: 9	11	12	0
SITE: 9	12	63	0
SITE: 8	10	63	1
SITE: 7	9	63	1
SITE: 6	8	63	1
SITE: 5	7	63	0
SITE: 4	6	63	1
SITE: 3	5	63	1
SITE: 1	3	4	0
SITE: 1	4	63	1
SITE: 0	63	63	1
SITE: 0	2	2	0
SITE: 0	1	1	1
SITE: 0	0	0	0
MPS Info: -5.724 4.02967 1.2616 
Writing MPS done!
