LHLHLLLHLHHLLLHHLLHHLHHLHHHLHHHLLHHHHHHLLHLHLHLHLLLHHLLHHHHHHLHH
W_LIST: -0.0315763 -0.128756 0.263194 0.0318094 -0.0294923 0.307782 -0.169638 -0.264417 -0.262079 -0.200958 0.275303 0.0103079 0.0577416 -0.20577 -0.313446 0.076623 -0.130357 0.140901 -0.0655403 0.290136 -0.0781595 -0.294377 0.325711 -0.155643 0.062405 -0.0899465 -0.136347 -0.258183 0.0439044 -0.0743 0.0204866 -0.155978 -0.315362 -0.199498 0.0931935 -0.166462 0.180703 0.230881 -0.323761 -0.0151629 -0.0202895 0.0839993 0.221027 0.224422 0.129167 0.236707 0.0245908 -0.114665 0.260389 -0.249959 -0.321852 -0.113694 0.122246 -0.318908 0.12993 -0.168395 0.0781446 0.0677081 -0.103939 -0.2859 -0.275662 0.325711 -0.251677 0.111041 
st	op	ed	phy
SITE: 39	41	42	0
SITE: 40	42	44	1
SITE: 38	40	43	1
SITE: 38	39	44	0
SITE: 36	38	43	1
SITE: 35	36	43	0
SITE: 35	37	44	0
SITE: 33	34	43	0
SITE: 33	43	44	1
SITE: 32	35	44	0
SITE: 31	32	44	0
SITE: 30	31	44	1
SITE: 29	30	44	1
SITE: 28	29	44	1
SITE: 27	28	44	1
SITE: 27	44	45	1
SITE: 27	45	46	1
SITE: 27	46	47	1
SITE: 26	27	47	0
SITE: 26	47	48	1
SITE: 26	48	49	1
SITE: 25	26	49	0
SITE: 25	49	50	0
SITE: 33	50	52	0
SITE: 25	51	52	0
SITE: 24	25	52	1
SITE: 24	52	53	0
SITE: 24	53	54	0
SITE: 23	24	54	0
SITE: 23	54	55	1
SITE: 23	55	56	1
SITE: 22	23	56	0
SITE: 21	22	56	0
SITE: 21	56	57	1
SITE: 21	57	58	0
SITE: 21	58	59	1
SITE: 21	59	60	0
SITE: 21	60	61	1
SITE: 21	61	62	1
SITE: 21	62	63	1
SITE: 20	21	63	0
SITE: 19	33	63	1
SITE: 18	19	63	0
SITE: 17	20	63	0
SITE: 16	17	63	1
SITE: 15	16	63	0
SITE: 14	15	63	0
SITE: 13	14	63	1
SITE: 12	13	63	0
SITE: 11	12	63	1
SITE: 9	10	18	0
SITE: 9	11	63	0
SITE: 8	9	63	1
SITE: 6	7	18	1
SITE: 5	8	18	0
SITE: 4	5	18	1
SITE: 2	4	6	0
SITE: 2	6	18	0
SITE: 2	3	63	0
SITE: 1	18	63	0
SITE: 0	2	63	1
SITE: 0	1	63	1
SITE: 0	0	63	0
SITE: 63	63	63	1
MPS Info: 0.614495 3.40549 1.76 
Writing MPS done!
