HHHLHHHHLHLHLLLLHHLLLLLHLHLLLLLLHHLLHLHLLHLHHLHHLLHLHLLHHLHHHHHL
W_LIST: 0.31168 -0.145718 -0.0164916 0.0534703 -0.144148 0.0274661 0.178231 -0.188386 -0.121762 0.27285 0.230914 0.222334 0.181404 -0.163276 0.135824 -0.0890264 -0.11643 -0.150328 0.258495 -0.263552 -0.0701354 -0.0849488 -0.0494146 -0.0730075 0.228955 -0.0771164 -0.179508 0.174091 -0.0270008 -0.207578 0.225873 0.075242 0.284193 0.21655 -0.060125 -0.141138 -0.237849 -0.278356 0.284157 -0.0720664 0.10293 -0.292359 0.0986543 -0.317047 -0.257271 0.294804 0.310579 0.00924593 0.247112 0.0560259 0.153295 -0.0610728 0.100068 -0.243483 0.189451 -0.216429 0.326301 0.256315 0.192179 -0.0399247 -0.0151421 0.195317 0.213169 -0.0407368 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 51	53	54	0
SITE: 51	52	56	0
SITE: 51	54	57	1
SITE: 49	50	56	0
SITE: 49	51	57	1
SITE: 47	48	56	1
SITE: 47	56	57	0
SITE: 46	47	57	1
SITE: 45	46	57	1
SITE: 44	45	57	1
SITE: 44	57	58	1
SITE: 44	58	59	1
SITE: 43	44	59	1
SITE: 42	43	59	1
SITE: 41	49	59	1
SITE: 41	59	60	1
SITE: 41	60	61	1
SITE: 40	41	61	1
SITE: 39	40	61	1
SITE: 38	39	61	0
SITE: 37	38	61	0
SITE: 42	62	63	1
SITE: 37	61	63	1
SITE: 36	37	63	1
SITE: 35	36	63	1
SITE: 34	35	63	0
SITE: 33	34	63	1
SITE: 32	42	63	0
SITE: 31	32	63	0
SITE: 30	31	63	1
SITE: 29	33	63	0
SITE: 27	29	30	0
SITE: 27	28	63	1
SITE: 26	30	63	1
SITE: 25	27	63	0
SITE: 24	26	63	1
SITE: 22	24	25	1
SITE: 22	23	63	1
SITE: 19	21	22	0
SITE: 20	25	63	1
SITE: 19	20	63	1
SITE: 18	19	63	0
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 15	16	63	1
SITE: 14	22	63	0
SITE: 13	15	63	0
SITE: 12	14	63	1
SITE: 8	9	11	0
SITE: 8	10	12	1
SITE: 8	11	13	1
SITE: 7	8	13	1
SITE: 7	13	63	0
SITE: 5	7	12	1
SITE: 5	6	63	1
SITE: 4	12	63	1
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	0	5	0
SITE: 1	5	5	0
SITE: 1	1	1	0
MPS Info: -0.689158 3.25971 1.66502 
Writing MPS done!
