LLLHLLHLLHLHHHLHLHLHHLLLLLHHLLHHHLLLHLHHHHLHLHLHLLLLHHLLHHHLLHHH
W_LIST: 0.115168 0.14102 0.058075 0.171894 0.324597 -0.228212 0.166846 0.0245154 0.226139 -0.312892 0.103652 0.304789 -0.0638381 -0.146751 -0.0194595 0.0298877 -0.00101367 -0.300251 -0.238824 0.254459 0.262985 -0.223504 0.0980364 0.252462 -0.182942 -0.108794 0.0603743 -0.207803 -0.054575 0.290592 0.159078 0.275161 0.00402047 -0.281653 0.100251 0.0520429 -0.107286 0.183608 -0.13943 0.272471 -0.105818 -0.255387 0.0143981 -0.0509511 0.252447 -0.305936 0.27513 -0.199233 0.131949 0.28502 0.0814077 0.106058 0.311443 0.299182 -0.117402 0.241558 -0.273861 -0.147005 -0.242664 -0.310934 0.196171 0.181274 -0.266057 -0.319762 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 53	56	57	1
SITE: 53	54	58	0
SITE: 52	53	58	0
SITE: 50	52	57	0
SITE: 50	51	58	1
SITE: 49	50	58	0
SITE: 47	49	57	1
SITE: 47	57	58	1
SITE: 46	48	58	0
SITE: 45	47	58	0
SITE: 45	46	59	1
SITE: 44	45	59	1
SITE: 43	44	59	0
SITE: 42	43	59	0
SITE: 41	42	59	1
SITE: 41	59	60	0
SITE: 40	41	60	1
SITE: 39	40	60	1
SITE: 38	39	60	0
SITE: 37	38	60	1
SITE: 36	37	60	1
SITE: 35	36	60	1
SITE: 34	35	60	0
SITE: 33	34	60	1
SITE: 32	33	60	0
SITE: 31	32	60	0
SITE: 31	60	61	1
SITE: 30	31	61	0
SITE: 29	58	61	0
SITE: 28	29	61	1
SITE: 28	61	62	1
SITE: 28	62	63	0
SITE: 27	28	63	0
SITE: 26	30	63	0
SITE: 25	26	63	0
SITE: 24	25	63	1
SITE: 23	24	63	0
SITE: 22	23	63	1
SITE: 21	22	63	0
SITE: 20	21	63	0
SITE: 18	20	27	0
SITE: 18	19	63	0
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 15	16	63	0
SITE: 14	15	63	0
SITE: 13	14	63	1
SITE: 12	13	63	1
SITE: 11	12	63	1
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 8	9	63	1
SITE: 7	8	63	1
SITE: 6	7	63	0
SITE: 5	6	63	0
SITE: 4	5	63	0
SITE: 3	4	63	1
SITE: 2	3	63	1
SITE: 1	2	63	0
SITE: 0	1	63	1
SITE: 0	63	63	1
SITE: 0	27	27	1
SITE: 0	0	0	0
MPS Info: 0.452019 3.52644 0.286192 
Writing MPS done!
