LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.0108781 -0.0320319 -0.303658 -0.0144114 0.219576 0.0690739 0.121309 0.21612 0.297743 -0.0158568 0.254602 -0.0253917 0.275193 -0.0806496 0.0194049 -0.154456 -0.199349 -0.239941 -0.248103 -0.313501 0.275467 -0.117726 0.0278402 0.234339 0.149469 -0.235502 -0.300098 0.244622 -0.164872 0.30327 -0.108099 -0.245163 0.203329 -0.294467 0.0817556 0.164769 -0.245034 0.0514608 0.146221 -0.329379 -0.280811 -0.1075 -0.322627 -0.306569 0.311321 -0.0688974 0.133334 0.28685 -0.328703 -0.119004 -0.206142 0.11458 -0.163056 -0.170157 -0.0248139 0.0935054 -0.0345064 0.219717 -0.00203504 -0.074972 -0.278576 0.125105 -0.202963 -0.11586 
st	op	ed	phy
SITE: 26	27	29	1
SITE: 25	26	29	0
SITE: 25	28	30	0
SITE: 25	29	31	1
SITE: 25	30	32	0
SITE: 24	31	32	0
SITE: 24	32	33	1
SITE: 23	25	33	1
SITE: 22	24	33	1
SITE: 23	33	35	1
SITE: 22	34	35	1
SITE: 23	36	37	0
SITE: 22	23	37	1
SITE: 22	37	38	0
SITE: 20	21	35	0
SITE: 20	35	38	0
SITE: 20	38	39	1
SITE: 19	20	39	1
SITE: 18	19	39	0
SITE: 18	39	40	1
SITE: 18	40	41	0
SITE: 18	41	42	0
SITE: 18	42	43	0
SITE: 18	43	44	0
SITE: 18	44	45	1
SITE: 18	45	46	1
SITE: 17	18	46	0
SITE: 17	46	47	1
SITE: 17	47	48	0
SITE: 17	48	49	0
SITE: 17	49	50	0
SITE: 17	50	51	1
SITE: 17	51	52	1
SITE: 17	52	53	0
SITE: 17	53	54	0
SITE: 17	54	55	0
SITE: 17	55	56	1
SITE: 17	56	57	0
SITE: 17	57	58	1
SITE: 17	58	59	0
SITE: 17	59	60	1
SITE: 17	60	61	0
SITE: 17	61	62	1
SITE: 17	62	63	0
SITE: 16	17	63	1
SITE: 15	16	63	0
SITE: 14	15	63	1
SITE: 13	14	63	1
SITE: 12	13	63	1
SITE: 11	12	63	0
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 7	9	22	0
SITE: 6	8	22	0
SITE: 6	7	63	0
SITE: 5	6	63	0
SITE: 3	4	22	1
SITE: 3	5	63	0
SITE: 2	3	63	0
SITE: 1	2	63	1
SITE: 0	1	63	0
SITE: 0	63	63	1
SITE: 0	22	22	1
WARN: Unitary gate is identity
SITE: 0	0	0	1
MPS Info: -7.53223 4.09994 1.36043 
Writing MPS done!
