HLLHHHHHLLLLHLHLHHLHHLHLHLLLLLHLHLLHHLLHHHHHHLHHHLHLLHLLLLLLLLLH
W_LIST: 0.294988 -0.0471021 0.332369 0.609516 0.553809 0.418464 -0.105251 -0.303791 0.455169 0.154478 -0.106406 -0.26281 0.426723 -0.203793 0.24954 0.516738 0.247374 0.471347 -0.160241 -0.0733131 -0.11709 -0.444882 0.430807 0.386042 -0.527612 0.176166 0.102965 -0.603029 -0.258839 0.0798185 -0.421584 -0.0615461 -0.192898 0.315018 0.31683 -0.355787 -0.071516 0.612159 -0.315477 -0.601854 -0.0248408 -0.498641 0.137119 0.58833 -0.31092 0.464109 -0.0193197 -0.210211 0.01587 0.116008 -0.227431 0.176539 -0.303934 -0.415739 0.550851 -0.424955 0.342831 -0.409173 0.359812 -0.39592 -0.157671 -0.279395 0.449228 -0.0799428 
st	op	ed	phy
SITE: 37	39	40	1
SITE: 37	38	41	0
SITE: 36	37	41	1
SITE: 34	35	40	1
SITE: 34	40	41	1
SITE: 34	36	42	1
SITE: 34	41	43	1
SITE: 34	43	44	0
SITE: 34	44	45	1
SITE: 33	34	45	0
SITE: 33	45	46	1
SITE: 33	46	47	1
SITE: 32	33	47	1
SITE: 31	32	47	1
SITE: 30	42	47	0
SITE: 31	47	49	1
SITE: 30	48	49	1
SITE: 31	50	51	1
SITE: 30	49	51	0
SITE: 29	30	51	1
SITE: 28	31	51	0
SITE: 28	51	52	1
SITE: 29	53	54	1
SITE: 28	52	54	0
SITE: 28	29	55	1
SITE: 28	55	56	0
SITE: 28	56	57	1
SITE: 27	28	57	0
SITE: 26	27	57	0
SITE: 25	26	57	1
SITE: 23	24	54	1
SITE: 23	25	57	0
SITE: 23	57	58	0
SITE: 23	58	59	1
SITE: 23	59	60	0
SITE: 23	60	61	1
SITE: 23	61	62	0
SITE: 23	62	63	1
SITE: 22	54	63	1
SITE: 21	22	63	0
SITE: 20	21	63	0
SITE: 19	23	63	1
SITE: 18	19	63	1
SITE: 17	18	63	0
SITE: 16	17	63	0
SITE: 15	20	63	0
SITE: 14	15	63	1
SITE: 13	16	63	1
SITE: 12	13	63	0
SITE: 11	12	63	0
SITE: 10	11	63	1
SITE: 9	10	63	0
SITE: 7	8	14	1
SITE: 7	14	63	0
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	9	63	1
SITE: 3	4	63	0
SITE: 2	3	63	0
SITE: 1	2	63	1
SITE: 0	63	63	1
SITE: 0	1	5	0
SITE: 0	0	5	0
SITE: 5	5	5	0
MPS Info: -1.48553 2.97667 1.38576 
Writing MPS done!
