HHLLHLHHHHLHHLLHLLHLHHHLHHHHLHLLHLHLHHHLLLHLHLLHHLLHHLHLHHHHLLLH
W_LIST: 0.119174 0.336359 -0.159917 -0.638281 0.611622 -0.0759229 0.174311 0.389647 0.0428914 0.413839 -0.254369 0.443945 0.398932 -0.0621474 0.427106 0.404573 0.293797 -0.0594181 0.479878 -0.15894 -0.0903431 0.253214 -0.379614 -0.218507 0.467554 0.658933 -0.480904 -0.482117 -0.495189 -0.364442 -0.616964 -0.610812 0.0456205 0.381845 -0.194232 0.168625 0.29331 0.234701 0.390917 0.0884679 -0.49411 0.00683206 0.169209 -0.336566 -0.279048 0.217764 0.0539749 0.642825 -0.0283856 -0.184043 0.476392 -0.0880565 -0.377861 0.275676 -0.570746 0.294932 0.290019 0.659515 0.0268728 -0.456001 -0.609271 0.165956 -0.641283 -0.585869 
st	op	ed	phy
SITE: 2	3	5	0
SITE: 1	4	5	0
SITE: 2	5	7	0
SITE: 1	2	7	1
SITE: 0	0	7	0
SITE: 6	7	9	0
SITE: 1	6	9	0
SITE: 1	9	10	0
SITE: 1	1	11	0
SITE: 10	11	13	0
SITE: 8	12	13	0
SITE: 8	8	14	0
SITE: 13	14	16	1
SITE: 10	10	16	0
SITE: 13	16	17	1
SITE: 13	15	18	1
SITE: 25	26	28	1
SITE: 23	24	27	0
SITE: 23	27	28	1
SITE: 22	25	28	0
SITE: 23	28	30	0
SITE: 22	23	30	1
SITE: 20	22	29	1
SITE: 20	21	30	1
SITE: 18	19	29	0
SITE: 18	20	30	0
SITE: 17	18	30	0
SITE: 13	13	30	1
SITE: 17	30	31	0
SITE: 17	29	32	0
SITE: 17	31	33	0
SITE: 17	32	34	0
SITE: 17	33	35	1
SITE: 17	34	36	1
SITE: 17	36	37	0
SITE: 17	35	38	0
SITE: 17	38	39	0
SITE: 17	37	40	0
SITE: 17	40	41	0
SITE: 17	41	42	1
SITE: 17	39	43	1
SITE: 42	44	45	1
SITE: 17	42	45	1
SITE: 17	43	46	0
SITE: 17	17	47	0
SITE: 46	47	49	0
SITE: 45	48	49	0
SITE: 45	46	50	1
SITE: 45	50	51	1
SITE: 45	51	52	1
SITE: 49	52	54	1
SITE: 45	45	54	0
SITE: 53	54	56	1
SITE: 49	49	56	0
SITE: 53	56	57	0
SITE: 55	57	59	0
SITE: 53	58	59	0
SITE: 55	60	61	0
SITE: 53	55	61	1
SITE: 53	61	62	1
SITE: 53	62	63	0
SITE: 53	59	63	0
SITE: 53	63	63	0
SITE: 53	53	53	1
MPS Info: 4.87247 2.58245 0.582393 
Writing MPS done!
