HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 1.05559 -1.00437 -0.592632 1.25737 0.075309 -0.419985 -0.631426 1.26329 0.219074 0.947827 -0.274058 -0.244758 -0.747289 -0.353586 1.10643 -0.0679013 0.517206 -0.328079 0.999078 0.881753 -0.225174 -0.61515 -0.522483 0.00228242 0.933864 -0.51443 1.03617 -0.634463 -0.616856 -0.0182038 1.1997 0.186605 1.30341 1.19374 0.432486 1.09039 1.06692 0.549466 0.180964 -0.402606 -0.771188 0.262884 -0.774751 -1.31519 -1.1457 -0.760035 -0.541392 -1.14381 0.014144 0.644844 -0.706645 1.31311 -0.642268 1.03688 1.19001 -0.034213 0.137571 1.20217 1.12289 1.30595 0.0322604 0.148467 -1.13025 -0.365 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	0	5	0
SITE: 2	4	6	1
SITE: 2	5	7	1
SITE: 2	7	8	1
SITE: 8	9	11	0
SITE: 6	10	11	1
SITE: 2	6	11	0
SITE: 2	11	12	0
SITE: 2	12	13	0
SITE: 2	2	14	1
SITE: 8	14	15	1
SITE: 13	15	17	1
SITE: 8	16	17	1
SITE: 8	17	18	0
SITE: 8	18	19	1
SITE: 8	8	20	1
SITE: 13	20	21	1
SITE: 13	21	22	1
SITE: 13	22	23	1
SITE: 13	23	24	1
SITE: 13	24	25	0
SITE: 13	25	26	0
SITE: 13	26	27	1
SITE: 19	27	29	0
SITE: 19	28	30	0
SITE: 13	19	30	0
SITE: 13	30	31	1
SITE: 13	29	32	0
SITE: 13	32	33	0
SITE: 13	33	34	1
SITE: 13	31	35	0
SITE: 13	35	36	0
SITE: 13	36	37	1
SITE: 13	34	38	1
SITE: 13	37	39	1
SITE: 13	38	40	1
SITE: 13	40	41	0
SITE: 13	41	42	0
SITE: 13	13	43	1
SITE: 39	43	44	0
SITE: 52	54	55	0
SITE: 51	53	55	1
SITE: 51	52	56	0
SITE: 50	51	56	0
SITE: 49	55	56	1
SITE: 49	50	57	1
SITE: 48	49	57	0
SITE: 47	56	57	1
SITE: 46	47	57	0
SITE: 46	48	58	0
SITE: 45	57	58	0
SITE: 44	46	58	1
SITE: 42	44	58	1
SITE: 39	45	58	1
SITE: 42	58	60	1
SITE: 39	59	60	1
SITE: 39	60	61	0
SITE: 39	61	62	1
SITE: 39	62	63	0
SITE: 39	42	63	0
SITE: 39	63	63	1
WARN: Unitary gate is identity
SITE: 39	39	39	0
MPS Info: -4.44285 2.36827 0.218109 
Writing MPS done!
