LLHHLLLLLHHHLLLLHHHHHHLLHLLHLHLLLLHLHHLLLLHLLLLLLLLHLHHLLHLLHHLH
W_LIST: 1.31615 0.329089 0.278795 -0.331666 -0.30912 0.44608 0.259497 -0.158689 0.230725 -1.22748 1.1216 -1.10075 -1.17289 0.00796746 -0.390998 -0.886205 -1.13763 -1.3282 -0.381671 1.19519 -0.156902 -0.606577 0.423565 -0.476844 0.282052 1.07251 0.964499 1.27017 -1.22015 0.621144 0.878322 0.380591 0.493569 -0.586347 0.901321 -0.763035 -1.01652 -1.12334 0.0333858 0.295457 -0.0183434 0.311783 -0.338175 -1.19334 0.886316 0.916496 -0.176973 -0.385079 -0.985486 -1.18504 0.380545 1.16973 0.942364 -0.39026 -0.96356 -1.03402 1.06677 0.738022 -0.790944 -0.443411 0.475539 0.221238 0.164862 -0.769722 
st	op	ed	phy
SITE: 9	10	12	0
SITE: 8	9	12	1
SITE: 8	12	13	0
SITE: 6	8	11	0
SITE: 6	7	13	1
SITE: 5	6	13	0
SITE: 4	5	13	1
SITE: 3	4	13	0
SITE: 2	11	13	1
SITE: 1	2	13	0
SITE: 1	13	14	1
SITE: 0	0	14	1
SITE: 3	15	16	0
SITE: 1	1	16	1
SITE: 3	16	17	1
SITE: 3	17	18	1
SITE: 3	18	19	1
SITE: 3	19	20	0
SITE: 14	21	22	1
SITE: 3	14	22	1
SITE: 3	22	23	1
SITE: 3	23	24	0
SITE: 3	24	25	0
SITE: 3	25	26	1
SITE: 3	26	27	1
SITE: 3	27	28	0
SITE: 3	28	29	0
SITE: 3	29	30	0
SITE: 3	30	31	1
SITE: 3	3	32	1
SITE: 20	32	33	1
SITE: 20	33	34	0
SITE: 20	34	35	0
SITE: 20	20	36	1
SITE: 35	37	38	1
SITE: 31	36	38	1
SITE: 31	35	39	0
SITE: 31	39	40	1
SITE: 31	38	41	0
SITE: 31	41	42	1
SITE: 31	42	43	1
SITE: 31	43	44	0
SITE: 31	44	45	1
SITE: 31	40	46	0
SITE: 55	56	58	1
SITE: 53	55	57	0
SITE: 52	54	57	1
SITE: 52	57	58	0
SITE: 52	58	59	0
SITE: 52	53	60	1
SITE: 51	59	60	0
SITE: 52	60	62	0
SITE: 51	61	62	0
SITE: 51	62	63	1
SITE: 50	51	63	0
SITE: 49	52	63	1
SITE: 48	49	63	0
SITE: 47	48	63	0
SITE: 46	47	63	1
SITE: 45	46	63	0
SITE: 31	63	63	1
SITE: 31	45	50	1
SITE: 31	50	50	1
SITE: 31	31	31	0
MPS Info: -5.78546 2.7025 0.346878 
Writing MPS done!
