LHHLLHHHHLHHHHLHHHLLLHLHHHLHLLLLLHHHHHLHLLLLLLLHHLLLHHHHHHLHHHHH
W_LIST: 0.0330154 1.18728 -1.4146 1.27878 0.525339 -1.19066 0.0788793 -0.549826 0.604535 1.46727 0.253379 0.170358 -1.48487 -1.01133 -1.32562 1.03063 0.458717 -0.929555 1.32698 0.781117 -0.388681 -0.257087 -0.0467945 1.1077 1.14478 1.39916 -0.341101 0.0495363 0.181222 -1.55491 0.955626 0.451282 1.33096 -0.770997 -0.723568 -0.0854227 -0.800502 0.876779 -1.28884 1.36748 -0.402081 0.949965 -0.432118 0.0884946 0.433762 -0.621263 1.02132 -0.876431 0.195749 0.0203194 1.59767 -1.28028 -0.504127 -0.824269 0.686855 -1.6117 -0.943765 1.18379 0.749329 0.54376 -0.134386 -0.278898 -1.0062 1.5804 
st	op	ed	phy
SITE: 2	3	5	1
SITE: 1	2	5	1
SITE: 0	1	5	0
SITE: 0	5	6	1
SITE: 0	4	7	0
SITE: 48	50	51	1
SITE: 48	51	52	0
SITE: 49	53	54	1
SITE: 49	54	55	0
SITE: 49	55	56	1
SITE: 49	56	57	1
SITE: 48	49	57	0
SITE: 47	48	57	0
SITE: 46	47	57	1
SITE: 45	46	57	1
SITE: 44	45	57	0
SITE: 43	44	57	1
SITE: 42	43	57	0
SITE: 42	57	58	0
SITE: 41	42	58	1
SITE: 40	41	58	1
SITE: 39	40	58	0
SITE: 38	39	58	0
SITE: 37	38	58	0
SITE: 36	37	58	0
SITE: 35	36	58	1
SITE: 34	52	58	0
SITE: 34	58	59	1
SITE: 34	59	60	0
SITE: 34	60	61	0
SITE: 35	62	63	1
SITE: 34	61	63	1
SITE: 33	34	63	1
SITE: 32	33	63	1
SITE: 31	32	63	1
SITE: 30	31	63	0
SITE: 29	30	63	1
SITE: 28	29	63	0
SITE: 27	28	63	1
SITE: 25	27	35	1
SITE: 25	26	63	0
SITE: 24	25	63	0
SITE: 23	24	63	0
SITE: 22	23	63	0
SITE: 21	22	63	1
SITE: 20	21	63	1
SITE: 19	20	63	0
SITE: 17	18	35	1
SITE: 17	19	63	1
SITE: 16	17	63	1
SITE: 14	15	35	0
SITE: 14	35	63	1
SITE: 13	14	63	0
SITE: 12	16	63	0
SITE: 11	12	63	1
SITE: 10	13	63	1
SITE: 9	11	63	1
SITE: 8	9	63	1
SITE: 7	10	63	1
SITE: 6	7	63	1
SITE: 0	63	63	0
SITE: 0	6	8	1
SITE: 0	0	8	1
WARN: Unitary gate is identity
SITE: 8	8	8	1
MPS Info: 5.39411 1.67911 0.575887 
Writing MPS done!
