LHHLHHLLLLHHHHHLHHLLLLHHHHHHHLHHLHHLHLHHLHHHLLLLHLLHHHHLHLHHLHLH
W_LIST: -0.851379 -0.203791 -0.570946 1.64199 0.816159 -0.357575 1.48516 -0.381619 -1.46935 -0.548065 -0.490917 0.405551 -1.62467 -0.298814 -0.432406 0.466406 0.69224 -0.279464 1.22697 0.350388 -0.254136 -0.0654549 -0.803454 1.38664 -0.489228 0.507623 0.0418612 0.657758 -1.00769 -0.469673 -0.0271934 1.00831 -0.789221 -0.434835 0.0256359 -0.767472 1.03468 -1.02195 -1.05546 1.52 0.557351 0.172647 -0.270698 -1.24401 0.594088 1.45955 1.39002 0.0945968 -0.0268704 -1.48903 -1.50189 0.708723 -0.876003 -0.666238 -1.63512 -1.31045 -1.20943 -0.0803848 -0.925454 0.241534 0.913928 -1.35865 0.148196 -0.964556 
st	op	ed	phy
SITE: 36	38	39	1
SITE: 35	37	39	0
SITE: 34	36	39	0
SITE: 35	39	41	0
SITE: 34	40	41	1
SITE: 35	41	43	1
SITE: 34	35	43	0
SITE: 33	34	43	0
SITE: 31	32	42	0
SITE: 31	33	43	0
SITE: 30	31	43	0
SITE: 29	30	43	0
SITE: 28	42	43	1
SITE: 28	43	44	1
SITE: 28	29	45	1
SITE: 27	28	45	1
SITE: 27	45	46	1
SITE: 27	46	47	1
SITE: 27	47	48	0
SITE: 27	48	49	0
SITE: 27	49	50	0
SITE: 27	50	51	0
SITE: 27	51	52	0
SITE: 26	44	52	0
SITE: 26	27	53	0
SITE: 25	26	53	1
SITE: 24	25	53	0
SITE: 23	24	53	1
SITE: 22	23	53	0
SITE: 21	22	53	1
SITE: 21	53	54	1
SITE: 21	54	55	1
SITE: 20	52	55	1
SITE: 20	55	56	0
SITE: 20	56	57	1
SITE: 20	21	58	1
SITE: 19	20	58	0
SITE: 17	18	57	1
SITE: 17	57	58	1
SITE: 17	58	59	1
SITE: 19	60	61	1
SITE: 17	59	61	1
SITE: 17	61	62	1
SITE: 16	17	62	1
SITE: 16	19	63	0
SITE: 15	16	63	0
SITE: 14	15	63	1
SITE: 13	14	63	1
SITE: 12	13	63	1
SITE: 11	12	63	1
SITE: 10	11	63	0
SITE: 9	10	63	0
SITE: 8	9	63	0
SITE: 6	8	62	0
WARN: Unitary gate is identity
SITE: 7	7	7	1
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 2	3	62	1
WARN: Unitary gate is identity
SITE: 4	4	4	1
SITE: 1	2	63	1
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
MPS Info: 7.03513 1.4561 0.0121908 
Writing MPS done!
