LHHLHLHLLLLLHLHLLHLHLLHLLHLLHHHHHHHLLLHHLHLLHHHHHLLLLHHLHHLHHHLL
W_LIST: 1.45086 -1.42422 -0.233485 -1.53273 -1.05951 -0.0243407 -0.608326 -0.978336 -1.6349 -0.6902 -0.788636 -1.49237 0.311414 -0.0138063 -0.73912 1.56872 0.78565 -0.0194274 1.18696 -1.1499 -0.200318 1.3392 -1.10612 0.83421 -0.478832 -0.512991 0.859046 0.237046 -1.48326 -1.36358 0.243679 -0.760878 1.01871 -0.96437 -1.00268 1.61571 0.440755 -1.11744 -0.29811 -1.07498 0.277124 -0.13828 1.12187 -0.449015 1.32222 -0.364129 -1.11851 -0.180992 -0.115918 0.563235 0.578285 -1.15167 -1.02475 -1.26703 -1.23591 -0.525952 -0.651692 0.0779466 1.06063 0.784644 -0.658747 -1.12654 -0.0540459 1.33746 
st	op	ed	phy
SITE: 34	35	37	1
SITE: 33	34	37	1
SITE: 31	33	36	1
SITE: 31	32	37	0
SITE: 31	37	38	0
SITE: 31	36	39	1
SITE: 31	39	40	1
SITE: 30	31	40	1
SITE: 29	38	40	1
SITE: 28	29	40	1
SITE: 27	28	40	1
SITE: 26	27	40	0
SITE: 25	26	40	1
SITE: 24	25	40	1
SITE: 23	24	40	0
SITE: 22	23	40	1
SITE: 21	22	40	1
SITE: 20	21	40	1
SITE: 18	19	30	1
SITE: 18	20	40	0
SITE: 17	18	40	1
SITE: 16	17	40	1
SITE: 14	15	30	1
SITE: 14	30	40	1
SITE: 13	14	40	1
SITE: 13	40	41	1
SITE: 13	41	42	1
SITE: 13	42	43	1
SITE: 13	43	44	0
SITE: 13	44	45	0
SITE: 13	45	46	0
SITE: 13	46	47	1
SITE: 13	47	48	1
SITE: 13	48	49	1
SITE: 16	50	51	1
SITE: 13	16	51	0
SITE: 13	51	52	0
SITE: 11	12	49	0
SITE: 11	13	52	0
SITE: 11	52	53	0
SITE: 10	11	53	0
SITE: 9	10	53	1
SITE: 8	9	53	0
SITE: 7	8	53	0
SITE: 6	49	53	0
SITE: 6	53	54	1
SITE: 6	54	55	1
SITE: 6	55	56	0
SITE: 6	56	57	1
SITE: 6	57	58	0
SITE: 6	58	59	1
SITE: 6	59	60	0
SITE: 6	60	61	1
SITE: 6	61	62	1
SITE: 6	62	63	0
SITE: 5	6	63	1
SITE: 4	7	63	0
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 1	5	63	0
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 2	2	2	1
MPS Info: -0.111353 1.81623 0.296703 
Writing MPS done!
