LLLLLLHHHHLLHLHHHLLHLHLLHLLHHHHHHHHLLHHLHHHHLHHHLLLLLLLLHHLLHLLL
W_LIST: 0.695718 -0.256467 -0.773193 0.54277 0.201146 0.358633 0.190311 -0.515578 0.160337 -0.469562 0.269259 -0.862228 0.59813 -0.401776 0.39484 -0.743421 0.0109959 0.129311 0.270265 -0.454861 0.80503 -0.465742 -0.748502 0.181839 0.947195 -0.983384 0.806023 -0.193066 -0.237 0.745956 0.0228495 -0.932623 -0.715539 -0.433244 0.148924 -0.483381 0.585444 0.0420054 0.191544 -0.565141 -0.862865 0.179274 -0.746645 -0.0346689 0.37465 -0.20173 0.455938 0.854759 0.386435 -0.827228 0.0599694 -0.958793 0.921365 0.316132 -0.295642 -0.649858 0.754116 -0.921624 -0.436235 0.639569 0.85761 -0.915728 -0.336692 0.877715 
st	op	ed	phy
SITE: 58	60	61	0
SITE: 59	62	63	0
SITE: 58	59	63	1
SITE: 57	58	63	0
SITE: 56	57	63	1
SITE: 55	56	63	0
SITE: 54	61	63	1
SITE: 53	55	63	0
SITE: 52	54	63	1
SITE: 51	52	63	1
SITE: 50	51	63	0
SITE: 49	50	63	1
SITE: 48	49	63	0
SITE: 47	48	63	1
SITE: 46	53	63	0
SITE: 45	46	63	0
SITE: 44	47	63	1
SITE: 43	44	63	1
SITE: 42	43	63	1
SITE: 41	42	63	1
SITE: 40	41	63	1
SITE: 39	40	63	1
SITE: 38	39	63	0
SITE: 37	38	63	0
SITE: 36	45	63	1
SITE: 35	36	63	1
SITE: 34	35	63	0
SITE: 33	34	63	0
SITE: 32	33	63	0
SITE: 31	32	63	1
SITE: 30	31	63	1
SITE: 29	30	63	1
SITE: 28	29	63	0
SITE: 27	28	63	1
SITE: 26	27	63	1
SITE: 25	26	63	1
SITE: 24	25	63	0
SITE: 23	24	63	0
SITE: 22	23	63	1
SITE: 21	22	63	0
SITE: 20	21	63	1
SITE: 19	20	63	1
SITE: 18	19	63	1
SITE: 17	18	63	0
SITE: 16	17	63	1
SITE: 15	16	63	0
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	13	63	0
SITE: 11	12	63	0
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 8	9	63	1
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 3	4	63	0
SITE: 2	3	63	1
SITE: 1	2	63	0
SITE: 0	63	63	1
SITE: 0	0	37	1
SITE: 1	1	37	0
WARN: Unitary gate is identity
SITE: 37	37	37	0
MPS Info: -5.44542 2.59488 0.622829 
Writing MPS done!
