LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -2.8173 0.880344 3.56605 3.37069 -6.96659 4.84717 0.178193 7.10198 -5.68436 6.5557 3.41042 3.87087 8.82337 -1.51393 0.420534 -9.41692 -2.40276 -1.42244 7.3512 -6.06221 -1.4769 -5.65068 -5.14396 -8.86808 7.06328 5.36659 4.40598 0.206661 -6.54792 2.93982 -9.89186 0.964534 -9.60582 0.182186 5.78865 4.43609 5.63671 -9.58551 -2.26447 6.55124 -0.257148 7.39453 -0.23255 -0.0291932 0.976563 6.96145 -0.811672 -3.04017 6.41539 6.4238 9.70766 -4.26512 1.24019 5.38332 -9.44929 2.89336 -3.39239 9.67472 9.75237 5.33365 0.593265 8.71509 4.02303 6.50068 
st	op	ed	phy
SITE: 54	56	57	1
SITE: 53	54	57	0
SITE: 52	53	57	1
SITE: 50	51	55	0
SITE: 50	55	57	1
SITE: 49	50	57	0
SITE: 36	37	39	0
SITE: 36	39	40	1
SITE: 36	38	41	0
SITE: 36	41	42	0
SITE: 28	30	31	1
SITE: 28	29	32	1
SITE: 27	28	32	0
SITE: 27	32	33	0
SITE: 26	31	33	0
SITE: 26	27	34	1
SITE: 4	5	7	1
SITE: 4	7	8	1
SITE: 4	8	9	0
SITE: 3	4	9	0
SITE: 3	9	10	1
SITE: 6	11	12	1
SITE: 3	10	12	0
SITE: 3	12	13	1
SITE: 6	13	15	1
SITE: 3	6	15	0
SITE: 3	15	16	0
SITE: 45	47	48	1
SITE: 46	49	52	1
SITE: 46	48	57	0
SITE: 45	52	57	0
SITE: 44	45	57	0
SITE: 46	58	59	0
SITE: 44	57	59	1
SITE: 46	59	61	0
SITE: 44	60	61	1
SITE: 44	61	62	0
SITE: 44	62	63	1
SITE: 35	36	42	0
SITE: 33	34	40	1
SITE: 33	35	42	0
SITE: 26	40	42	0
SITE: 43	44	63	1
SITE: 33	43	46	1
SITE: 33	46	63	1
SITE: 26	33	63	0
SITE: 17	18	20	0
SITE: 14	16	19	0
SITE: 3	14	19	0
SITE: 3	19	20	0
SITE: 3	20	21	1
SITE: 17	21	23	1
SITE: 3	22	23	1
SITE: 3	23	24	0
SITE: 3	24	25	1
SITE: 17	25	42	1
SITE: 17	26	63	0
WARN: Unitary gate is identity
SITE: 17	17	17	0
SITE: 1	3	42	0
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	0	42	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 42	42	42	1
MPS Info: -27.1096 0.15317 0.00652658 
Writing MPS done!
