LHHLHLHLLHHLLLLHLHHLLLLHHLLLLLLHHHHHLHHHHHHHHLHLLHHHLHHLLHLLLHLL
W_LIST: 4.11716 7.20435 4.5825 3.80828 -2.6162 5.85089 -6.12749 -4.69536 3.81699 -3.87242 2.51368 8.15423 4.65494 -0.655475 9.49669 -6.09671 -2.12141 -0.639194 7.23071 9.41884 -1.3148 -1.4198 -6.0556 -0.532017 -2.90541 -7.70755 -3.13262 8.93946 -7.98034 0.24733 0.924024 5.63565 -4.16026 8.5872 2.69131 -8.38565 3.84777 0.126875 -9.98329 -1.26499 8.89879 6.45801 3.96193 2.36538 -6.83027 1.46845 -8.36746 6.12974 6.14718 -7.39469 5.97325 -9.86872 0.792147 -6.42628 -8.24685 -4.74369 8.28753 0.151623 -4.26544 -3.03048 5.85629 -0.58581 -6.58614 3.43446 
st	op	ed	phy
SITE: 49	51	52	1
SITE: 48	49	52	1
SITE: 48	50	53	0
SITE: 32	33	35	0
SITE: 32	35	36	1
SITE: 31	32	36	1
SITE: 30	31	36	0
SITE: 26	27	29	1
SITE: 28	30	34	1
SITE: 28	34	36	0
SITE: 26	28	36	0
SITE: 29	36	38	1
SITE: 26	37	38	1
SITE: 29	38	40	1
SITE: 26	39	40	1
SITE: 25	26	40	0
SITE: 24	25	40	0
SITE: 22	24	29	1
SITE: 22	23	40	1
SITE: 21	22	40	0
SITE: 44	46	47	1
SITE: 45	48	52	1
SITE: 45	47	53	1
SITE: 44	45	53	1
SITE: 43	44	53	1
SITE: 12	14	15	1
SITE: 12	15	16	1
SITE: 13	16	18	0
SITE: 12	13	18	0
SITE: 10	11	17	1
SITE: 10	12	18	1
SITE: 8	9	17	1
SITE: 8	10	18	0
SITE: 7	8	18	1
SITE: 17	19	20	1
SITE: 7	18	20	0
SITE: 17	20	29	0
SITE: 7	17	29	0
SITE: 7	21	40	0
SITE: 5	6	29	1
SITE: 5	7	40	0
SITE: 4	5	40	1
SITE: 3	4	40	1
SITE: 60	62	63	0
SITE: 59	60	63	1
SITE: 55	56	58	1
SITE: 57	58	61	0
SITE: 55	59	61	0
SITE: 55	61	63	1
SITE: 54	55	63	0
SITE: 52	54	57	1
SITE: 52	53	63	1
SITE: 43	57	63	0
SITE: 42	43	63	0
SITE: 41	42	63	0
SITE: 29	40	52	0
WARN: Unitary gate is identity
SITE: 41	41	41	0
WARN: Unitary gate is identity
SITE: 52	52	52	0
SITE: 1	2	29	0
SITE: 1	3	63	1
SITE: 0	1	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 29	29	29	1
MPS Info: 5.74152 0.0742909 0.0193769 
Writing MPS done!
