HHHHHLLHLHLHLLHHHLHLHLLLHLHHLLHLLHLLHHLLHLLLHLLLHHHLLLHHLLLLHLLL
W_LIST: 0.584918 2.15765 -0.353274 0.275573 -2.03141 -0.0399384 -1.93236 1.41866 1.58647 -0.303764 1.83933 0.571792 2.25207 -1.35285 -1.15574 -1.40219 -0.88762 -1.2439 1.85321 -0.807919 -0.532969 -1.58559 -0.136485 2.20222 -0.720735 -2.15821 0.489061 -0.805556 0.143114 -0.838278 -0.925302 -0.557117 0.737761 -0.429392 0.297162 1.99094 -1.26254 0.431655 -0.85519 1.31235 -1.40659 -1.84602 -0.280755 1.86352 0.00250378 -1.29864 -0.706624 -2.07131 1.80726 -1.04472 1.95247 0.87443 0.810935 1.0325 1.05747 0.251315 -0.417541 -0.63138 -0.0369481 1.66695 -1.3332 -1.11384 -0.682961 0.426802 
st	op	ed	phy
SITE: 23	25	26	0
SITE: 23	26	27	0
SITE: 23	27	28	1
SITE: 23	28	29	1
SITE: 22	23	29	1
SITE: 21	24	29	1
SITE: 21	29	30	0
SITE: 21	22	31	0
SITE: 20	21	31	0
SITE: 18	19	30	0
SITE: 18	20	31	0
SITE: 17	18	31	0
SITE: 17	31	32	0
SITE: 17	32	33	1
SITE: 17	33	34	1
SITE: 17	34	35	0
SITE: 17	35	36	1
SITE: 17	36	37	1
SITE: 17	37	38	0
SITE: 17	38	39	0
SITE: 17	39	40	1
SITE: 30	41	42	0
SITE: 17	40	42	1
SITE: 17	42	43	1
SITE: 17	43	44	1
SITE: 17	44	45	1
SITE: 17	45	46	0
SITE: 30	47	48	0
SITE: 17	46	48	1
SITE: 17	48	49	0
SITE: 17	49	50	1
SITE: 17	50	51	0
SITE: 17	51	52	1
SITE: 17	30	53	0
SITE: 16	17	53	0
SITE: 15	16	53	1
SITE: 14	15	53	1
SITE: 12	13	52	0
SITE: 12	14	53	1
SITE: 11	12	53	1
SITE: 10	11	53	1
SITE: 9	10	53	1
SITE: 8	9	53	1
SITE: 6	7	52	0
WARN: Unitary gate is identity
SITE: 8	8	8	1
SITE: 5	6	53	0
SITE: 4	5	53	1
SITE: 3	4	53	1
SITE: 1	2	52	1
WARN: Unitary gate is identity
SITE: 3	3	3	1
SITE: 0	1	53	0
SITE: 0	53	54	1
SITE: 0	0	55	0
SITE: 58	59	61	1
SITE: 58	60	62	1
SITE: 58	61	63	0
SITE: 56	58	62	0
SITE: 56	62	63	0
SITE: 55	56	63	0
SITE: 54	57	63	1
SITE: 52	63	63	1
SITE: 52	54	55	0
SITE: 52	52	55	0
WARN: Unitary gate is identity
SITE: 55	55	55	0
MPS Info: -7.8933 1.76069 0.806974 
Writing MPS done!
