LLLLHLLHHHHLHLHHLLLHHLHLLLLLHLHHHLLHLLHHHHLLHHLLHHHHHLLLLLLHLHHL
W_LIST: 1.53892 1.24733 -1.90718 0.000206345 -2.09602 0.72157 -0.612712 -1.22284 -0.343941 2.11829 1.58871 0.818744 0.971783 -0.369414 2.25176 -0.316943 -1.34197 -1.51164 -1.77983 1.39358 1.98273 0.154575 -0.0158428 -1.06312 -1.26736 -0.0490621 0.784633 -0.898076 -1.49785 1.51392 1.75686 -0.642628 -1.95556 -0.120748 -0.144437 -1.8241 -2.14691 -2.03367 -0.76608 0.513205 0.15064 -0.977223 -1.30063 -1.60663 0.379122 -1.76633 -0.819078 -0.498075 2.27666 0.600054 -2.3256 -0.496636 -1.25567 0.706949 0.104968 -1.11923 -2.18221 -0.66755 1.37948 2.18181 -0.740626 -1.28379 0.755026 -1.53247 
st	op	ed	phy
SITE: 47	48	50	0
SITE: 47	50	51	1
SITE: 49	52	53	1
SITE: 47	51	53	1
SITE: 47	53	54	1
SITE: 47	54	55	0
SITE: 47	55	56	0
SITE: 47	56	57	0
SITE: 47	49	58	0
SITE: 46	47	58	1
SITE: 44	45	57	1
SITE: 44	46	58	0
SITE: 43	44	58	1
SITE: 42	43	58	0
SITE: 42	58	59	1
SITE: 42	59	60	0
SITE: 42	57	61	0
SITE: 42	61	62	1
SITE: 42	60	63	0
SITE: 41	62	63	0
SITE: 40	41	63	1
SITE: 39	42	63	0
SITE: 38	39	63	0
SITE: 37	38	63	1
SITE: 36	37	63	0
SITE: 35	36	63	0
SITE: 34	35	63	1
SITE: 32	34	40	0
SITE: 32	33	63	1
SITE: 31	32	63	1
SITE: 30	31	63	1
SITE: 28	29	40	1
SITE: 28	30	63	0
SITE: 27	28	63	1
SITE: 26	27	63	0
SITE: 25	26	63	1
SITE: 24	25	63	0
SITE: 23	24	63	0
SITE: 22	23	63	0
SITE: 20	22	40	0
SITE: 20	40	63	0
SITE: 19	20	63	0
SITE: 18	19	63	0
SITE: 17	18	63	0
SITE: 16	17	63	0
SITE: 14	16	21	0
SITE: 14	21	63	1
SITE: 13	14	63	0
SITE: 12	15	63	0
SITE: 11	12	63	0
SITE: 10	11	63	1
SITE: 9	10	63	0
SITE: 8	9	63	0
SITE: 7	13	63	1
SITE: 6	7	63	1
SITE: 5	6	63	0
SITE: 4	5	63	1
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 1	2	63	0
SITE: 0	1	63	1
SITE: 0	63	63	0
SITE: 0	0	8	1
WARN: Unitary gate is identity
SITE: 8	8	8	0
MPS Info: 4.26194 1.53161 0.00125552 
Writing MPS done!
