LHHHHLHHHHHLHHLHHHLLLHLLHLLLHLLLLHLHLLLLLHHLHLLHHHLHLLLLHHHHLHLH
W_LIST: -0.561952 1.34179 1.18978 -1.53633 -1.31726 1.54975 2.45883 1.93832 0.126259 -0.270867 -1.28781 -0.106808 -2.00977 -1.69669 2.39106 -0.416235 2.48344 -1.55898 2.13705 -1.89432 -0.6372 0.986237 0.00584788 1.03586 -0.828366 1.62793 -1.65149 1.0784 0.4174 1.2938 -1.20104 2.0823 -1.89676 -1.9807 -2.65815 -2.54669 -1.12411 2.31713 2.16583 -2.4357 0.317208 -0.168062 -1.06434 -1.84385 1.38727 -0.508472 -1.24014 -0.444134 -1.43588 1.2578 -2.42876 0.218649 -2.54142 1.49963 0.994006 -0.132122 -2.54792 -0.805374 2.44364 -0.160387 1.09134 0.37777 -2.445 -0.742341 
st	op	ed	phy
SITE: 36	37	39	1
SITE: 36	39	40	0
SITE: 36	38	41	1
SITE: 35	36	41	0
SITE: 35	40	42	1
SITE: 34	35	42	1
SITE: 33	34	42	0
SITE: 31	32	41	0
SITE: 31	33	42	1
SITE: 30	31	42	1
SITE: 29	30	42	0
SITE: 28	29	42	1
SITE: 26	27	41	1
SITE: 26	28	42	1
SITE: 25	26	42	0
SITE: 24	25	42	1
SITE: 23	24	42	1
SITE: 22	23	42	1
SITE: 21	22	42	0
SITE: 20	21	42	0
SITE: 18	19	41	0
SITE: 18	41	42	1
SITE: 17	18	42	1
SITE: 16	17	42	1
SITE: 15	16	42	0
SITE: 14	20	42	1
SITE: 13	14	42	1
SITE: 15	43	44	0
SITE: 13	42	44	1
SITE: 13	44	45	0
SITE: 13	15	46	1
SITE: 11	13	45	1
SITE: 11	12	46	1
SITE: 10	11	46	0
SITE: 9	10	46	1
SITE: 8	9	46	1
SITE: 7	8	46	1
SITE: 6	7	46	0
SITE: 4	6	45	0
SITE: 4	5	46	1
SITE: 2	4	45	1
SITE: 2	3	46	1
SITE: 0	1	45	0
SITE: 0	2	46	0
SITE: 0	46	47	0
SITE: 0	45	48	1
SITE: 0	48	49	1
SITE: 0	49	50	0
SITE: 0	50	51	0
SITE: 0	51	52	0
SITE: 0	52	53	0
SITE: 0	53	54	1
SITE: 0	54	55	1
SITE: 0	55	56	0
SITE: 47	56	58	1
SITE: 0	57	58	1
SITE: 0	58	59	0
SITE: 0	47	60	1
SITE: 0	60	61	1
SITE: 0	59	62	1
SITE: 0	62	63	0
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
MPS Info: -5.61569 1.35454 0.065406 
Writing MPS done!
