HLLLLLLLLHLLHLHLLHHLHLLHHHLLLLLHHHLLLHHLHHHHLHHHLHLLLHLLLLHLHHHH
W_LIST: -1.5311 -1.10621 -1.66571 -2.3163 -0.699824 1.35115 0.0346316 0.835066 -1.54699 -2.37026 -0.619794 0.937619 0.96383 -1.48737 1.94413 2.61001 1.66538 2.62201 -1.88233 0.107145 2.06233 -1.5288 1.11356 -0.92153 -1.48573 1.98669 1.38701 2.32108 0.0681266 1.52395 0.992902 2.33461 -0.125619 0.0687258 0.133276 1.42028 -0.230315 -0.191336 -0.159613 -0.35156 -2.32693 1.82025 -1.37159 2.2867 -0.516296 -0.517849 1.35084 2.23513 -0.614615 1.87839 1.98067 -0.704364 0.895994 -2.26661 -1.3728 1.10904 -1.02996 -1.35409 -2.30437 -1.31317 1.48797 -0.560099 -0.155198 0.283347 
st	op	ed	phy
SITE: 17	18	20	1
SITE: 17	20	21	0
SITE: 17	21	22	0
SITE: 17	22	23	1
SITE: 19	24	25	1
SITE: 17	23	25	1
SITE: 16	17	25	0
SITE: 15	16	25	1
SITE: 13	15	19	1
SITE: 13	14	25	0
SITE: 12	13	25	0
SITE: 11	12	25	0
SITE: 10	11	25	1
SITE: 9	10	25	0
SITE: 8	9	25	1
SITE: 7	8	25	0
SITE: 6	7	25	1
SITE: 5	6	25	0
SITE: 4	5	25	1
SITE: 3	4	25	0
SITE: 2	3	25	0
SITE: 2	25	26	0
SITE: 19	27	28	1
SITE: 2	26	28	1
SITE: 2	28	29	0
SITE: 2	29	30	1
SITE: 2	30	31	1
SITE: 2	31	32	0
SITE: 2	32	33	0
SITE: 2	33	34	1
SITE: 2	34	35	1
SITE: 2	35	36	1
SITE: 2	36	37	0
SITE: 2	37	38	0
SITE: 19	39	40	0
SITE: 2	38	40	0
SITE: 2	40	41	1
SITE: 2	41	42	0
SITE: 2	42	43	1
SITE: 2	43	44	0
SITE: 19	45	46	1
WARN: Unitary gate is identity
SITE: 44	44	44	0
SITE: 19	47	48	0
WARN: Unitary gate is identity
SITE: 46	46	46	0
SITE: 2	48	49	0
SITE: 19	49	51	0
WARN: Unitary gate is identity
SITE: 50	50	50	1
SITE: 2	51	52	0
SITE: 2	52	53	1
SITE: 19	53	55	1
WARN: Unitary gate is identity
SITE: 54	54	54	0
SITE: 2	55	56	1
SITE: 2	56	57	0
SITE: 2	57	58	0
SITE: 19	58	60	1
WARN: Unitary gate is identity
SITE: 59	59	59	0
SITE: 2	60	61	0
SITE: 1	2	61	0
SITE: 0	0	61	1
SITE: 1	1	62	0
SITE: 19	61	63	1
SITE: 19	63	63	0
SITE: 19	19	62	1
SITE: 62	62	62	1
MPS Info: -0.0615328 1.36788 0.0993569 
Writing MPS done!
