HHHLHHLHLHHHHHHHHLLHLHLHLLLLLHLLLLHLHLHHLLLLLHLHHLHLLHLLLHHHLHHH
W_LIST: -1.22367 1.83415 -0.733985 -0.523564 0.37971 2.28232 1.52841 2.08538 1.53423 1.60076 -2.43288 1.12752 -1.88097 -1.44931 2.34651 -1.67613 -1.86882 -0.00327084 0.772324 -0.979862 2.06951 0.432103 -1.58686 2.10804 -0.154343 -0.366268 1.93947 -0.83843 0.00462229 -0.368754 2.35907 -1.00497 -0.770866 0.441348 -1.77737 2.62518 2.35038 -0.647421 0.384852 1.96192 2.51231 -2.6546 1.47437 0.619521 -0.862399 1.89863 -2.5308 1.755 -2.39984 -1.39423 1.81511 -1.83946 -0.897203 -1.01683 -1.31949 -0.116198 2.14785 -0.00294678 -0.265822 1.86268 -1.82537 1.68756 0.261129 1.92074 
st	op	ed	phy
SITE: 47	48	50	1
SITE: 46	49	50	0
SITE: 45	46	50	0
SITE: 45	50	51	0
SITE: 44	45	51	0
SITE: 43	47	51	0
SITE: 43	51	52	0
SITE: 43	44	53	0
SITE: 41	42	52	1
SITE: 41	43	53	1
SITE: 40	41	53	0
SITE: 39	40	53	1
SITE: 38	39	53	0
SITE: 36	37	52	0
SITE: 36	38	53	0
SITE: 34	36	52	0
SITE: 34	35	53	1
SITE: 33	34	53	1
SITE: 32	33	53	1
SITE: 30	32	52	0
SITE: 30	31	53	0
SITE: 29	30	53	1
SITE: 28	29	53	1
SITE: 26	27	52	0
SITE: 26	28	53	1
SITE: 25	26	53	1
SITE: 23	25	52	0
SITE: 23	24	53	1
SITE: 22	23	53	0
SITE: 21	22	53	0
SITE: 19	20	52	1
SITE: 19	21	53	0
SITE: 18	19	53	1
SITE: 17	18	53	1
SITE: 16	17	53	0
SITE: 14	16	52	1
SITE: 14	15	53	1
SITE: 13	14	53	0
SITE: 11	12	52	1
SITE: 11	13	53	1
SITE: 10	11	53	0
SITE: 9	10	53	1
SITE: 8	9	53	0
SITE: 7	8	53	1
SITE: 6	7	53	0
SITE: 5	6	53	1
SITE: 4	5	53	0
SITE: 3	4	53	0
SITE: 1	2	52	1
SITE: 1	3	53	0
SITE: 0	1	53	0
SITE: 0	53	54	1
SITE: 0	54	55	0
SITE: 0	0	56	1
SITE: 58	59	61	0
SITE: 58	61	62	0
SITE: 58	60	63	0
SITE: 56	58	62	0
SITE: 56	62	63	0
SITE: 55	56	63	1
SITE: 52	63	63	0
SITE: 52	52	57	0
SITE: 55	55	57	0
WARN: Unitary gate is identity
SITE: 57	57	57	1
MPS Info: 3.37053 1.00042 0.00277031 
Writing MPS done!
