HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -0.301386 0.0152465 2.0612 -0.465364 -1.70169 -0.244189 0.689757 0.516337 0.137911 -2.44618 -2.55215 1.6972 0.224628 -1.33513 -1.76636 1.42546 -1.8314 -2.5591 -1.9037 1.07912 2.09107 0.99481 0.951896 0.556732 -1.48018 -2.10513 -1.72317 0.323032 -0.185891 -0.726855 1.13758 -0.383714 2.61339 1.55921 -2.18932 0.919887 -0.547553 -2.01567 2.01825 -1.73764 1.07005 -0.119163 -0.627764 0.937999 -1.90071 -1.49194 1.78428 0.314595 -2.43551 -0.572088 1.31843 0.075263 -0.956793 -2.58751 -1.15956 1.52807 1.04128 -1.26952 0.529809 0.750254 -1.12538 -2.20946 1.51011 1.51294 
st	op	ed	phy
SITE: 31	32	34	0
SITE: 31	34	35	1
SITE: 30	33	35	0
SITE: 31	35	37	1
SITE: 30	36	37	0
SITE: 30	37	38	0
SITE: 30	38	39	1
SITE: 30	39	40	1
SITE: 29	30	40	0
SITE: 29	40	41	0
SITE: 31	42	43	0
SITE: 29	41	43	1
SITE: 29	43	44	0
SITE: 31	44	46	1
SITE: 29	45	46	0
SITE: 29	46	47	1
SITE: 29	31	48	1
SITE: 29	48	49	1
SITE: 29	49	50	0
SITE: 29	50	51	1
SITE: 29	47	52	1
SITE: 29	52	53	0
SITE: 29	53	54	1
SITE: 29	54	55	0
SITE: 51	55	57	0
SITE: 29	56	57	1
SITE: 29	57	58	1
SITE: 51	59	60	1
SITE: 29	58	60	0
SITE: 51	61	62	1
SITE: 29	60	62	0
SITE: 28	29	62	0
SITE: 26	28	51	0
SITE: 26	27	62	0
SITE: 25	26	62	1
SITE: 24	25	62	0
SITE: 23	24	62	1
SITE: 22	51	62	0
SITE: 22	62	63	0
SITE: 21	22	63	0
SITE: 20	21	63	1
SITE: 19	20	63	0
SITE: 18	19	63	1
SITE: 17	18	63	0
SITE: 15	17	23	0
SITE: 15	16	63	1
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	13	63	1
SITE: 10	11	23	1
SITE: 10	23	63	1
SITE: 8	10	12	1
SITE: 8	9	63	1
SITE: 7	12	63	1
SITE: 6	7	63	1
SITE: 5	8	63	1
SITE: 4	6	63	1
SITE: 3	4	63	0
SITE: 2	5	63	1
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	1	3	1
SITE: 0	0	3	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
MPS Info: 2.75781 1.1217 0.103219 
Writing MPS done!
