HHHHLLHHLLHHLHHLLHHHHLLHLHLHLLLLLHLHHHLLHLLLHLLLHHHHLLLHLHHLHLHL
W_LIST: 2.15804 2.25816 -1.12496 -2.0835 1.61458 1.88513 2.00001 -0.121119 -1.81228 -2.59802 -1.09686 -2.10363 -1.25378 -1.03067 1.45265 -0.943636 1.81506 -2.28131 -1.94644 -2.29694 2.14857 0.722029 0.628569 -1.80674 -1.46907 0.351244 -2.62352 1.64693 -0.693925 0.0915439 1.42695 -0.500357 -2.54858 -0.779807 -1.51451 -0.080892 -1.18203 -0.34435 1.05397 0.810204 2.54403 1.32202 0.859878 -1.75939 0.650467 1.87988 2.65116 1.79352 -0.757306 -0.153045 -0.00604018 1.63452 0.657635 2.09069 -0.733098 2.36614 -0.136242 -1.10038 0.878159 -0.44289 -1.0321 -0.188178 -0.479273 -1.34788 
st	op	ed	phy
SITE: 25	26	28	0
SITE: 24	27	28	0
SITE: 23	24	28	0
SITE: 22	25	28	0
SITE: 23	28	30	0
SITE: 22	23	30	1
SITE: 22	30	31	1
SITE: 22	31	32	0
SITE: 21	29	32	0
SITE: 21	32	33	0
SITE: 21	22	34	1
SITE: 20	21	34	1
SITE: 19	20	34	0
SITE: 18	19	34	1
SITE: 16	18	33	1
SITE: 16	17	34	1
SITE: 15	16	34	1
SITE: 14	15	34	0
SITE: 13	14	34	0
SITE: 12	13	34	1
SITE: 11	12	34	0
SITE: 10	11	34	1
SITE: 9	10	34	1
SITE: 8	9	34	0
SITE: 6	8	33	0
SITE: 6	7	34	0
SITE: 5	6	34	0
SITE: 3	5	33	1
SITE: 3	4	34	1
SITE: 1	3	33	1
SITE: 1	2	34	1
SITE: 0	0	34	0
SITE: 55	57	58	1
SITE: 54	55	58	0
SITE: 53	54	58	0
SITE: 52	53	58	1
SITE: 51	56	58	0
SITE: 51	58	59	0
SITE: 51	52	60	0
SITE: 50	51	60	0
SITE: 49	50	60	0
SITE: 47	48	59	1
SITE: 47	49	60	1
SITE: 46	47	60	1
SITE: 45	46	60	1
SITE: 44	45	60	1
SITE: 43	59	60	1
SITE: 42	43	60	0
SITE: 42	60	61	1
SITE: 42	61	62	0
SITE: 42	62	63	0
SITE: 1	1	35	0
SITE: 41	42	63	1
SITE: 40	41	63	1
SITE: 39	40	63	0
SITE: 38	39	63	1
SITE: 37	38	63	1
SITE: 35	36	44	1
SITE: 35	37	63	1
SITE: 34	44	63	0
SITE: 33	34	63	0
SITE: 33	63	63	0
SITE: 33	35	35	0
WARN: Unitary gate is identity
SITE: 33	33	33	0
MPS Info: 3.73056 1.42233 0.00114907 
Writing MPS done!
