LLLLLHHLLHLLHLLLLHLLLHLLLHLHHLLHHLHHHHLLHLLLLLHLHLLLHHHLLLLLLHHH
W_LIST: -2.28654 1.49235 1.60992 2.57294 -1.93078 1.95352 -2.10151 0.957536 -0.958173 -2.15128 -0.667384 0.0801717 0.61102 -0.592997 -1.90002 -2.35421 1.07183 2.10801 -0.67787 -1.49751 -0.428789 -0.667593 1.49379 -1.54674 0.541892 2.55228 -1.59029 -0.107465 -1.42422 -0.394508 1.17791 0.994468 0.671084 -1.81465 0.453026 0.475488 -0.764088 -0.269322 1.99532 0.815229 2.33536 -2.25879 1.66836 -2.3119 1.99028 0.409361 -2.0877 1.59198 -0.00738465 2.11183 -1.90997 -0.779055 -1.34413 0.50309 2.53995 1.57585 -0.831427 1.13776 -2.27859 1.49947 0.764504 1.71991 -1.01151 -1.13781 
st	op	ed	phy
SITE: 43	44	46	1
SITE: 41	43	45	0
SITE: 41	42	46	1
SITE: 40	41	46	0
SITE: 40	46	47	1
SITE: 39	40	47	0
SITE: 37	38	45	1
SITE: 37	45	47	0
SITE: 37	47	48	1
SITE: 39	49	50	1
SITE: 37	48	50	1
SITE: 37	50	51	0
SITE: 37	39	52	1
SITE: 37	52	53	1
SITE: 37	51	54	0
SITE: 37	54	55	0
SITE: 37	55	56	1
SITE: 37	56	57	0
SITE: 37	57	58	1
SITE: 37	58	59	0
SITE: 37	59	60	1
SITE: 53	61	62	0
SITE: 37	53	62	0
SITE: 37	60	63	1
SITE: 35	36	62	1
SITE: 35	37	63	1
SITE: 33	34	62	0
SITE: 33	35	63	0
SITE: 32	33	63	0
SITE: 31	32	63	0
SITE: 29	30	62	1
SITE: 29	31	63	0
SITE: 27	28	62	1
SITE: 27	29	63	0
SITE: 25	26	62	0
SITE: 25	62	63	1
SITE: 24	25	63	0
SITE: 23	24	63	1
SITE: 22	23	63	0
SITE: 21	22	63	1
SITE: 20	21	63	1
SITE: 19	20	63	0
SITE: 17	19	27	0
SITE: 17	27	63	1
SITE: 16	17	63	0
SITE: 15	16	63	1
SITE: 14	15	63	0
SITE: 13	14	63	0
SITE: 12	18	63	1
SITE: 11	12	63	0
SITE: 10	11	63	1
SITE: 9	10	63	0
SITE: 8	9	63	1
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	5	63	0
SITE: 3	4	63	0
SITE: 2	3	63	1
SITE: 0	0	13	0
SITE: 1	1	63	1
SITE: 2	63	63	1
SITE: 2	2	13	1
WARN: Unitary gate is identity
SITE: 13	13	13	0
MPS Info: -13.7378 1.21709 0.229934 
Writing MPS done!
