LLHLHHLLLHHLLHHLLHLLHHLLLHLHHLHHLHHHLHHLHLLLHLLLHHLHLLHLHHHHLHLH
W_LIST: -1.6135 -1.25334 1.34649 -0.437416 1.85046 -0.384344 1.77975 -1.25231 -1.79658 0.246393 -1.73956 0.419419 1.00258 -1.17555 0.856677 0.407733 -1.43326 1.91922 -1.40726 1.71516 1.53981 -0.0981988 0.898039 -1.24862 0.880821 1.03202 0.212105 -1.50368 0.146718 -0.00801021 -1.30785 -1.22273 0.875845 -0.508661 -1.02664 -0.744006 -0.0539069 0.54198 -0.938755 0.256751 -1.02664 0.0977093 -1.3109 0.226349 0.132263 -0.0231601 -1.14728 -1.59745 -1.77757 -1.66644 1.73818 1.17731 -0.629784 0.416424 -1.11234 -1.32366 -1.55307 0.950094 -0.798085 -1.76307 -1.89876 0.198933 -0.742746 1.75079 
st	op	ed	phy
SITE: 15	17	18	0
SITE: 15	16	19	0
SITE: 15	19	20	1
SITE: 15	18	21	0
SITE: 13	15	20	1
SITE: 13	20	21	0
SITE: 12	13	21	1
SITE: 14	22	23	1
SITE: 12	21	23	1
SITE: 12	23	24	0
SITE: 12	24	25	1
SITE: 14	25	27	0
SITE: 12	26	27	1
SITE: 12	27	28	1
SITE: 14	28	30	1
SITE: 12	29	30	0
SITE: 12	30	31	1
SITE: 12	31	32	1
SITE: 12	32	33	1
SITE: 14	33	35	1
SITE: 12	34	35	1
SITE: 12	35	36	1
SITE: 12	36	37	0
SITE: 12	37	38	0
SITE: 12	38	39	1
SITE: 12	39	40	1
SITE: 12	40	41	1
SITE: 12	14	42	1
SITE: 12	42	43	0
SITE: 10	12	41	1
SITE: 10	41	43	1
SITE: 10	43	44	1
SITE: 9	10	44	1
SITE: 8	11	44	0
SITE: 8	44	45	1
SITE: 8	45	46	0
SITE: 8	46	47	0
SITE: 7	8	47	0
SITE: 6	7	47	0
SITE: 5	6	47	1
SITE: 4	5	47	1
SITE: 3	4	47	0
SITE: 2	9	47	0
SITE: 1	2	47	0
SITE: 0	0	47	0
SITE: 1	47	48	0
SITE: 3	48	50	1
SITE: 3	50	51	1
SITE: 1	49	51	1
SITE: 1	51	52	0
SITE: 1	52	53	0
SITE: 1	53	54	1
SITE: 1	54	55	1
SITE: 3	56	57	1
SITE: 1	55	57	0
SITE: 1	3	58	1
SITE: 1	58	59	1
SITE: 1	59	60	1
SITE: 1	60	61	0
SITE: 1	61	62	0
SITE: 1	63	63	0
SITE: 1	57	62	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
MPS Info: 2.06445 1.60469 0.00492082 
Writing MPS done!
