HHHHLLHHLLHHLHHLLHHHHLLHLHLHLLLLLHLHHHLLHLLLHLLLHHHHLLLHLHHLHLHL
W_LIST: 1.62258 1.69787 -0.845837 -1.56654 1.21397 1.41739 1.50377 -0.0910673 -1.36261 -1.9534 -0.824708 -1.58168 -0.942688 -0.774937 1.09222 -0.709501 1.3647 -1.71527 -1.46349 -1.72702 1.61546 0.542879 0.472608 -1.35845 -1.10457 0.264094 -1.97257 1.23829 -0.521748 0.06883 1.07289 -0.376208 -1.91622 -0.586321 -1.13873 -0.060821 -0.888744 -0.25891 0.79246 0.609176 1.9128 0.993997 0.646525 -1.32285 0.489073 1.41344 1.99335 1.34851 -0.569403 -0.115071 -0.00454149 1.22896 0.494462 1.57194 -0.551202 1.77905 -0.102438 -0.827352 0.66027 -0.333 -0.776013 -0.141487 -0.360355 -1.01344 
st	op	ed	phy
SITE: 25	26	28	0
SITE: 24	27	28	0
SITE: 24	25	29	0
SITE: 22	23	28	1
SITE: 22	24	29	0
SITE: 22	28	30	0
SITE: 22	30	31	1
SITE: 22	31	32	0
SITE: 22	32	33	0
SITE: 22	29	34	1
SITE: 21	33	34	0
SITE: 21	34	35	0
SITE: 21	35	36	0
SITE: 21	36	37	1
SITE: 21	37	38	1
SITE: 20	21	38	1
SITE: 19	20	38	0
SITE: 19	22	39	0
SITE: 19	39	40	1
SITE: 19	40	41	0
SITE: 19	41	42	1
SITE: 19	38	43	0
SITE: 19	43	44	0
SITE: 18	19	44	1
SITE: 16	17	42	1
SITE: 16	18	44	1
SITE: 15	16	44	1
SITE: 14	15	44	0
SITE: 13	14	44	0
SITE: 12	42	44	1
SITE: 12	44	45	0
SITE: 11	12	45	0
SITE: 10	11	45	1
SITE: 9	10	45	1
SITE: 8	9	45	0
SITE: 7	8	45	0
SITE: 6	7	45	0
SITE: 5	6	45	0
SITE: 3	5	13	1
SITE: 3	4	45	1
SITE: 1	3	13	1
SITE: 1	2	45	1
SITE: 0	0	45	0
SITE: 1	45	46	1
SITE: 13	46	48	1
SITE: 1	1	48	0
SITE: 13	47	49	1
SITE: 13	48	50	1
SITE: 13	49	51	1
SITE: 13	51	52	0
SITE: 13	52	53	1
SITE: 13	53	54	1
SITE: 13	54	55	0
SITE: 13	55	56	0
SITE: 13	56	57	1
SITE: 13	57	58	1
SITE: 13	58	59	0
SITE: 13	13	60	0
SITE: 50	60	61	1
SITE: 50	61	62	0
SITE: 50	63	63	0
SITE: 50	62	62	1
SITE: 50	59	59	0
WARN: Unitary gate is identity
SITE: 50	50	50	1
MPS Info: 2.88905 1.48877 0.575719 
Writing MPS done!
