HLHHHLHLLLLLHLLHHHLHHLLLLLHHLHHHLHLLLHLHHHHLLHHLHHHLLHHHHLLHHLHH
W_LIST: -1.22167 0.751866 -1.3431 1.17306 1.27237 0.91801 -0.880516 0.609376 -1.77906 0.975252 0.359169 -0.867783 0.362573 -0.631861 -1.39509 -0.822799 0.0782625 0.41527 0.516431 -1.81351 1.64248 -0.0853071 -1.67933 -1.96911 -0.0993472 -0.581596 0.104325 1.36043 -0.760486 0.953416 -1.79113 -0.931022 -0.341964 0.814515 -0.321621 0.468888 0.8131 -1.97351 -1.16068 1.30647 0.105459 0.171242 -0.654395 0.409576 -0.812067 -1.50206 -0.599281 -0.4565 0.719228 -0.418153 -0.626943 0.961692 1.75312 -1.72966 -0.350794 1.17287 -0.155784 0.252132 0.323968 -0.393688 -1.23217 0.308363 1.20478 1.14219 
st	op	ed	phy
SITE: 52	53	55	1
SITE: 51	52	55	1
SITE: 51	55	56	0
SITE: 50	54	56	1
SITE: 50	51	57	1
SITE: 49	50	57	1
SITE: 48	49	57	1
SITE: 47	48	57	0
SITE: 46	56	57	1
SITE: 46	57	58	1
SITE: 45	46	58	1
SITE: 44	45	58	1
SITE: 43	44	58	0
SITE: 42	43	58	1
SITE: 41	42	58	1
SITE: 40	41	58	1
SITE: 39	47	58	0
SITE: 38	39	58	0
SITE: 37	38	58	0
SITE: 36	37	58	1
SITE: 36	40	59	0
SITE: 36	59	60	1
SITE: 36	60	61	1
SITE: 36	58	62	0
SITE: 35	36	62	1
SITE: 35	62	63	0
SITE: 33	34	61	0
SITE: 33	61	63	1
SITE: 32	33	63	0
SITE: 31	35	63	0
SITE: 30	31	63	1
SITE: 29	30	63	1
SITE: 28	29	63	0
SITE: 27	28	63	0
SITE: 26	27	63	0
SITE: 25	26	63	0
SITE: 24	25	63	0
SITE: 23	24	63	1
SITE: 22	23	63	0
SITE: 21	22	63	0
SITE: 19	20	32	0
SITE: 19	21	63	1
SITE: 18	19	63	1
SITE: 17	32	63	0
SITE: 16	17	63	0
SITE: 15	16	63	0
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	13	63	0
SITE: 11	12	63	0
SITE: 10	11	63	0
SITE: 9	10	63	1
SITE: 8	9	63	1
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 2	3	18	0
SITE: 2	4	63	0
SITE: 1	2	63	1
SITE: 0	63	63	0
SITE: 0	0	18	1
SITE: 1	18	18	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: 8.96645 1.7065 0.394564 
Writing MPS done!
