HHLLHHLLLLHLHHHHHLHLHLHHHLLLLLHLHHLHLHLLLLLHLLLHHHHLLHLHLHLLHHLL
W_LIST: -1.48806 -0.667132 1.91102 -0.717542 -0.640035 -1.83106 -0.456937 1.66004 1.59628 1.36822 -1.86502 0.203058 -1.67953 -0.417247 -1.12605 -0.992746 -1.8514 -0.38892 1.48631 -1.94325 -0.316995 0.972413 -0.907241 1.11491 1.40848 0.149869 -0.780325 1.54363 -1.11859 -1.71971 1.91284 -1.76324 0.0194268 -1.08423 -1.09596 1.26345 1.36587 -0.545418 1.90962 -1.64759 1.39444 -1.06289 -0.605774 1.00822 1.23622 -1.87531 -0.488229 0.835978 -1.34783 -0.872775 -1.56055 -1.43921 1.64111 1.31794 1.94982 0.263612 1.7642 1.87136 -0.180484 -0.48472 -1.91642 -1.01686 -0.447506 0.375632 
st	op	ed	phy
SITE: 18	19	21	0
SITE: 16	18	20	0
SITE: 16	20	21	0
SITE: 16	21	22	1
SITE: 16	22	23	1
SITE: 16	23	24	0
SITE: 16	24	25	0
SITE: 16	25	26	1
SITE: 16	26	27	0
SITE: 16	27	28	1
SITE: 17	29	30	0
SITE: 16	28	30	0
SITE: 16	30	31	0
SITE: 16	31	32	0
SITE: 16	32	33	0
SITE: 15	16	33	1
SITE: 17	34	35	0
SITE: 15	33	35	1
SITE: 15	35	36	0
SITE: 15	36	37	1
SITE: 15	37	38	1
SITE: 15	38	39	1
SITE: 15	39	40	0
SITE: 15	40	41	1
SITE: 15	41	42	0
SITE: 15	17	43	0
SITE: 15	43	44	0
SITE: 15	44	45	1
SITE: 15	45	46	0
SITE: 15	42	47	1
SITE: 15	47	48	0
SITE: 15	48	49	1
SITE: 15	49	50	1
SITE: 46	50	52	1
SITE: 15	51	52	0
SITE: 15	52	53	1
SITE: 15	53	54	0
SITE: 15	54	55	1
SITE: 15	55	56	1
SITE: 46	57	58	0
SITE: 15	56	58	1
SITE: 15	46	59	1
SITE: 15	59	60	0
SITE: 15	60	61	1
SITE: 15	61	62	1
SITE: 15	62	63	0
SITE: 14	15	63	1
SITE: 13	14	63	1
SITE: 11	12	58	1
SITE: 11	13	63	1
SITE: 9	10	58	1
SITE: 9	58	63	1
SITE: 8	9	63	1
SITE: 7	8	63	1
SITE: 6	7	63	1
SITE: 5	6	63	0
SITE: 4	5	63	1
SITE: 2	3	11	0
SITE: 2	11	63	0
SITE: 1	2	63	1
SITE: 0	0	63	1
SITE: 1	1	63	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 4	4	4	1
MPS Info: -2.56302 1.25908 0.0214093 
Writing MPS done!
