LHHLLHHHHHLHHLLLHHHLHLHHLLHLLLLLHHHHHHHLLHLLLLLHLHLLHLHLLLLLLHLL
W_LIST: -1.75444 1.91387 1.16513 1.39186 1.44756 -0.580131 -0.0333579 -1.28929 0.971618 1.76119 -0.0892025 1.2739 0.278358 -0.202633 -0.857008 -1.16269 0.218939 -1.19311 -1.54382 1.92701 1.72353 -1.96987 -0.135151 0.198924 -1.08369 0.881335 -1.66497 1.72683 -1.4767 -0.392827 1.61681 1.40454 0.380818 1.01702 -1.87029 -1.94199 1.91863 0.882677 0.97991 -0.601645 -1.31657 1.70298 -0.557154 1.60686 -0.715485 1.75144 -0.377177 -1.87154 0.58512 -1.3274 1.50585 0.159889 1.5291 0.365543 0.250427 -0.64565 -0.315821 -0.509417 -0.684937 -0.575752 1.39934 1.65791 1.9002 -0.390923 
st	op	ed	phy
SITE: 18	19	21	1
SITE: 18	21	22	0
SITE: 17	18	22	1
SITE: 16	20	22	0
SITE: 15	17	22	1
SITE: 15	22	23	0
SITE: 15	23	24	0
SITE: 15	24	25	0
SITE: 15	25	26	1
SITE: 15	26	27	1
SITE: 15	27	28	1
SITE: 15	28	29	0
SITE: 15	29	30	1
SITE: 14	15	30	0
SITE: 14	30	31	1
SITE: 14	31	32	1
SITE: 16	33	34	0
SITE: 14	16	34	0
SITE: 14	34	35	1
SITE: 14	35	36	1
SITE: 14	36	37	0
SITE: 32	38	39	0
SITE: 14	37	39	0
SITE: 32	40	41	0
SITE: 14	39	41	1
SITE: 14	41	42	0
SITE: 14	42	43	0
SITE: 14	43	44	1
SITE: 14	44	45	0
SITE: 14	45	46	1
SITE: 32	47	48	1
SITE: 14	46	48	0
SITE: 32	49	50	1
SITE: 14	32	50	0
SITE: 14	50	51	1
SITE: 14	51	52	0
SITE: 14	52	53	0
SITE: 14	53	54	1
SITE: 14	54	55	1
SITE: 14	55	56	0
SITE: 13	14	56	0
SITE: 12	13	56	1
SITE: 11	12	56	1
SITE: 9	11	48	0
SITE: 9	48	56	0
SITE: 8	9	56	0
SITE: 7	8	56	0
SITE: 6	7	56	1
SITE: 6	10	57	1
SITE: 4	5	56	1
SITE: 4	6	57	1
SITE: 3	4	57	1
SITE: 2	3	57	1
SITE: 0	1	56	0
SITE: 0	0	57	0
SITE: 2	2	58	0
SITE: 60	62	63	1
SITE: 59	60	63	1
SITE: 58	59	63	0
SITE: 57	58	63	0
SITE: 56	63	63	0
SITE: 56	56	61	1
SITE: 57	61	61	0
WARN: Unitary gate is identity
SITE: 57	57	57	0
MPS Info: -1.46996 1.91585 0.248386 
Writing MPS done!
