HLLHLLLHHLLHLHLHLHLLHLHHLHLLLLLLLHLHHHLHLHHLHLLHLLHHHLLHLLHLHHHL
W_LIST: 2.81894 0.190245 -1.25734 -0.801157 -0.973327 2.52295 -2.64682 -0.120836 -1.24328 -1.18347 -2.74706 -0.0148472 -0.966661 -2.10022 -0.0848143 -3.20394 -2.43323 -0.264914 1.00698 0.278141 2.5368 -0.867943 -1.68298 -0.136904 3.12635 -2.76484 -1.72167 2.70237 0.482785 0.434962 -0.648412 -2.81359 -2.7784 -2.24636 -1.19364 0.89605 -3.1219 2.61528 3.05216 -1.60111 0.0961834 -3.01138 0.448971 -0.0218256 1.52006 -2.45398 -0.652183 -0.856537 -2.91499 2.85615 -3.14414 -0.436778 -0.973992 2.65964 -2.05226 2.39767 -1.20057 3.1675 -2.32485 -1.54289 2.62227 -1.45018 -2.80025 -3.23441 
st	op	ed	phy
SITE: 24	25	27	1
SITE: 24	27	28	1
SITE: 23	24	28	1
SITE: 22	26	28	0
SITE: 34	36	37	1
SITE: 35	38	39	1
SITE: 34	37	39	0
SITE: 34	39	40	1
SITE: 34	35	41	0
SITE: 34	41	42	1
SITE: 33	34	42	0
SITE: 32	33	42	1
SITE: 30	32	40	0
SITE: 30	31	42	0
SITE: 29	40	42	0
SITE: 22	23	29	1
SITE: 20	22	28	1
SITE: 20	21	29	0
SITE: 19	20	29	0
SITE: 17	18	28	1
SITE: 17	28	29	0
SITE: 19	29	42	1
SITE: 17	30	42	0
SITE: 16	17	42	1
SITE: 15	16	42	0
SITE: 14	15	42	1
SITE: 13	19	42	0
SITE: 12	13	42	1
SITE: 11	12	42	0
SITE: 10	11	42	0
SITE: 14	43	44	0
SITE: 10	14	44	0
SITE: 10	44	45	0
SITE: 10	45	46	0
SITE: 9	10	46	0
SITE: 9	46	47	1
SITE: 42	48	49	0
SITE: 9	47	49	1
SITE: 9	49	50	1
SITE: 9	50	51	1
SITE: 42	52	53	1
SITE: 9	51	53	1
SITE: 9	53	54	1
SITE: 9	54	55	0
SITE: 9	55	56	0
SITE: 42	57	58	1
WARN: Unitary gate is identity
SITE: 56	56	56	0
SITE: 42	58	60	1
WARN: Unitary gate is identity
SITE: 59	59	59	0
SITE: 9	60	61	0
SITE: 9	61	62	1
SITE: 8	9	62	0
SITE: 6	8	42	1
WARN: Unitary gate is identity
SITE: 42	42	42	0
SITE: 5	6	62	0
SITE: 4	5	62	1
SITE: 3	4	62	0
SITE: 2	7	62	0
SITE: 1	2	62	0
SITE: 0	0	62	0
SITE: 1	62	63	1
SITE: 1	63	63	0
SITE: 1	1	3	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
MPS Info: -4.37831 0.678626 0.00546723 
Writing MPS done!
