LHHHLLLHHLHLLHLLLHHHLLHHLLHHHHHLLHLLLLLLHHLLLHLLHLLHHLLLLHHLLHLL
W_LIST: 1.87321 -3.21667 2.84337 -1.34043 -2.51434 3.27705 1.33899 0.0324824 -0.506141 -0.909347 -2.80664 -1.08827 -1.40834 -0.980583 1.76277 -2.75855 -3.17627 -0.908371 2.51483 -1.7307 -0.581776 0.210184 -1.20698 -0.919589 -0.995306 -2.05678 1.21111 -0.337884 -1.38546 -1.96671 -0.416801 2.16872 -1.78103 2.05589 -0.793353 -0.286712 2.86988 2.51766 -0.91012 -0.140427 -0.727179 -1.45785 -2.40538 0.881292 -2.00201 -1.29322 1.70318 -1.66168 -2.15481 3.14839 -1.35475 -0.530282 2.88165 -0.533027 2.84603 2.98205 -0.952026 -0.372998 -2.29258 1.9782 1.71658 1.40412 2.78775 1.64648 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 2	4	5	0
SITE: 0	2	5	0
SITE: 0	5	6	1
SITE: 0	0	7	1
SITE: 3	6	8	1
SITE: 16	18	19	0
SITE: 14	16	17	0
SITE: 14	15	19	0
SITE: 13	14	19	1
SITE: 13	19	20	1
SITE: 13	20	21	0
SITE: 13	21	22	1
SITE: 13	22	23	1
SITE: 12	13	23	1
SITE: 10	12	17	0
SITE: 10	11	23	0
SITE: 9	10	23	1
SITE: 8	9	23	0
SITE: 3	7	17	1
SITE: 3	3	23	1
SITE: 8	23	24	1
SITE: 17	25	26	0
SITE: 8	24	26	0
SITE: 8	26	27	0
SITE: 8	27	28	0
SITE: 8	28	29	1
SITE: 8	29	30	1
SITE: 8	30	31	1
SITE: 8	31	32	1
SITE: 8	32	33	0
SITE: 8	33	34	0
SITE: 17	34	36	0
SITE: 8	8	36	1
SITE: 17	36	37	1
SITE: 17	37	38	1
SITE: 17	38	39	0
SITE: 17	35	40	0
SITE: 17	39	41	1
SITE: 17	41	42	1
SITE: 17	42	43	0
SITE: 17	43	44	1
SITE: 17	44	45	0
SITE: 17	40	46	1
SITE: 17	46	47	1
SITE: 17	47	48	0
SITE: 17	48	49	1
SITE: 17	49	50	1
SITE: 45	50	52	0
SITE: 17	45	52	1
SITE: 17	52	53	0
SITE: 17	51	54	0
SITE: 17	54	55	1
SITE: 17	55	56	1
SITE: 53	56	58	0
SITE: 17	53	58	0
SITE: 17	58	59	1
SITE: 17	59	60	1
SITE: 17	60	61	1
SITE: 17	61	62	0
SITE: 17	62	63	1
SITE: 17	63	63	1
WARN: Unitary gate is identity
SITE: 17	17	17	0
WARN: Unitary gate is identity
SITE: 57	57	57	1
MPS Info: -14.7717 1.55495 0.0916384 
Writing MPS done!
