LHLHLLHLLHHLHLHHHHHHLHHLHHHHHHHHLLLLLHHHHLHHLLHLLHLHLHLLLHHLLLHL
W_LIST: 2.67529 3.48333 -2.66394 -3.34724 -2.55516 1.49174 2.35553 -1.85317 1.71393 0.555361 -0.524592 -0.277604 2.85182 -2.36072 -0.646865 2.37602 2.18848 3.32106 -2.54588 1.80136 2.77831 -3.65204 1.86585 3.00103 1.60426 0.198695 -2.65243 -0.00253302 0.618007 3.08231 -2.59244 1.50265 -2.16592 -2.98167 1.31701 -0.673025 0.337851 3.502 2.60547 2.37702 0.767203 2.84732 -3.4224 2.26994 2.14691 1.29791 -2.69591 -0.280783 -0.747507 0.32212 -3.22793 1.08176 1.39682 1.2036 -2.32898 -2.99886 1.62798 1.62231 1.95985 1.25442 0.12109 2.63347 -3.65059 1.5121 
st	op	ed	phy
SITE: 60	62	63	1
SITE: 12	13	15	0
SITE: 59	61	63	1
SITE: 12	15	16	0
SITE: 11	12	16	0
SITE: 14	17	18	0
SITE: 11	16	18	0
SITE: 11	18	19	1
SITE: 14	20	21	1
SITE: 11	19	21	0
SITE: 11	21	22	1
SITE: 11	22	23	0
SITE: 11	23	24	1
SITE: 14	24	26	0
SITE: 11	25	26	0
SITE: 11	26	27	1
SITE: 14	28	29	0
SITE: 11	14	29	0
SITE: 11	29	30	0
SITE: 11	30	31	1
SITE: 11	31	32	0
SITE: 27	33	34	0
SITE: 11	32	34	0
SITE: 11	34	35	1
SITE: 27	35	37	0
SITE: 11	36	37	1
SITE: 10	11	37	1
SITE: 9	10	37	1
SITE: 7	8	27	1
SITE: 7	9	37	1
SITE: 6	7	37	0
SITE: 4	6	27	0
SITE: 4	5	37	1
SITE: 4	37	38	0
SITE: 27	38	40	0
SITE: 4	39	40	0
SITE: 27	41	42	1
SITE: 4	40	42	0
SITE: 4	42	43	1
SITE: 3	4	43	0
SITE: 1	3	27	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
SITE: 0	1	43	0
SITE: 0	0	44	1
SITE: 27	44	45	1
SITE: 27	43	46	0
SITE: 27	46	47	1
SITE: 27	45	48	1
SITE: 27	48	49	0
SITE: 27	49	50	0
SITE: 27	50	51	0
SITE: 27	51	52	0
SITE: 47	52	54	1
SITE: 27	53	54	0
SITE: 47	55	56	0
SITE: 27	54	56	0
SITE: 27	56	57	1
SITE: 27	57	58	0
SITE: 47	58	60	0
SITE: 27	59	60	1
SITE: 27	63	63	1
SITE: 27	60	60	0
WARN: Unitary gate is identity
SITE: 47	47	47	1
WARN: Unitary gate is identity
SITE: 27	27	27	1
MPS Info: 8.30717 0.479725 0.000119938 
Writing MPS done!
