HHHLLHLHHLLHLHHLLLLLLLHHLLHHHLHLLLHLLLLHLHLHLLLHHLLHLLHHLLHLHLLH
W_LIST: -1.32517 0.698447 0.189113 0.753193 -0.00649393 0.671985 -0.33114 0.912804 2.12704 -0.790541 2.23284 -3.2864 0.486292 -1.49668 -2.49171 0.227814 -1.18834 -1.38061 2.82284 2.74304 -0.718536 0.606343 -0.881712 2.24128 -1.10922 1.67957 2.56997 -2.19297 -0.823732 -3.28768 -0.856255 2.54413 -2.17496 -1.84203 -1.80047 1.06189 -3.29271 0.467512 0.326475 3.65998 -2.82734 -3.58529 2.62935 -2.63992 1.60933 1.2592 0.679186 3.45873 2.64253 2.88381 0.333388 -2.72827 0.945862 0.297236 2.54128 2.12445 0.573826 -0.64269 -2.99908 -3.50407 1.75833 -1.23789 -1.51871 -1.57404 
st	op	ed	phy
SITE: 41	43	44	1
SITE: 39	41	42	1
SITE: 39	40	44	0
SITE: 38	39	44	0
SITE: 36	38	42	1
SITE: 36	42	44	1
SITE: 35	36	44	0
SITE: 34	35	44	1
SITE: 33	34	44	1
SITE: 31	32	37	0
SITE: 31	33	44	0
SITE: 30	31	44	1
SITE: 29	30	44	1
SITE: 28	29	44	0
SITE: 26	27	37	1
SITE: 26	37	44	1
SITE: 25	26	44	0
SITE: 24	25	44	1
SITE: 23	24	44	0
SITE: 22	23	44	0
SITE: 21	28	44	1
SITE: 9	11	12	1
SITE: 9	10	13	1
SITE: 8	9	13	0
SITE: 7	8	13	0
SITE: 6	7	13	0
SITE: 5	6	13	0
SITE: 4	5	13	0
SITE: 4	13	14	1
SITE: 4	14	15	1
SITE: 4	12	16	0
SITE: 3	4	16	1
SITE: 2	3	16	1
SITE: 1	2	16	1
SITE: 0	0	16	1
SITE: 20	21	44	1
SITE: 19	20	44	0
SITE: 17	19	22	1
SITE: 17	18	44	1
SITE: 15	17	22	0
SITE: 1	16	22	0
SITE: 1	22	44	1
SITE: 1	44	45	1
SITE: 15	45	47	1
SITE: 1	15	47	1
SITE: 1	47	48	0
SITE: 1	48	49	0
SITE: 1	49	50	1
SITE: 1	46	51	1
SITE: 1	51	52	1
SITE: 1	52	53	1
SITE: 1	53	54	0
SITE: 1	54	55	0
SITE: 1	55	56	0
SITE: 1	56	57	1
SITE: 1	57	58	0
SITE: 50	59	60	0
SITE: 1	58	60	1
SITE: 1	60	61	0
SITE: 1	61	62	0
SITE: 1	63	63	1
SITE: 1	62	62	0
WARN: Unitary gate is identity
SITE: 50	50	50	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
MPS Info: 1.25319 0.949038 0.0660479 
Writing MPS done!
