LLLLLLHLHHHLHHHLLLHLHLHHHLLLHLHLHHLLHHHLLHLHLLHHHLHHHLHLHHLLHHHL
W_LIST: -1.09561 1.7712 1.2222 0.240563 2.7559 -1.97551 2.89572 -1.0776 1.01597 1.26241 2.00325 3.63766 2.89802 -0.108989 1.1999 -2.33506 -1.95353 1.7155 0.798064 3.36815 3.2035 2.56556 3.13462 -0.753468 -0.143603 0.0652308 0.753823 3.38359 -3.13925 0.899919 -2.28239 1.55499 3.57779 -2.89532 -1.92733 -2.58447 -0.694528 -1.52243 -1.78101 0.175039 1.60324 1.61081 -3.40027 -1.2091 3.62958 -2.13023 1.88525 0.591898 3.42896 -2.98378 1.61671 -0.196503 -2.2184 1.94702 0.825027 -2.29084 -0.675575 1.04322 -1.86887 -1.16469 1.72602 -3.46279 -0.978423 3.22942 
st	op	ed	phy
SITE: 41	42	44	0
SITE: 41	44	45	1
SITE: 41	45	46	0
SITE: 43	46	48	0
SITE: 41	43	48	1
SITE: 41	48	49	0
SITE: 41	49	50	0
SITE: 41	50	51	0
SITE: 47	52	53	1
SITE: 41	47	53	0
SITE: 60	61	63	1
SITE: 59	62	63	1
SITE: 30	32	33	0
SITE: 29	30	33	1
SITE: 27	28	31	1
SITE: 27	31	33	1
SITE: 26	27	33	1
SITE: 41	53	54	1
SITE: 41	51	55	1
SITE: 41	55	56	0
SITE: 41	54	57	0
SITE: 41	57	58	0
SITE: 26	33	34	1
SITE: 29	35	36	0
SITE: 26	34	36	0
SITE: 26	36	37	0
SITE: 29	38	39	1
SITE: 26	37	39	1
SITE: 26	39	40	0
SITE: 29	40	56	1
SITE: 29	41	58	0
SITE: 26	56	58	0
SITE: 29	58	60	0
SITE: 26	59	60	0
SITE: 26	60	63	0
SITE: 25	26	63	1
SITE: 24	25	63	0
SITE: 23	24	63	0
SITE: 22	23	63	1
SITE: 21	22	63	0
SITE: 20	21	63	1
SITE: 18	19	29	1
SITE: 18	20	63	0
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 14	16	29	0
SITE: 14	15	63	0
SITE: 12	14	29	0
SITE: 12	13	63	0
SITE: 10	11	29	1
WARN: Unitary gate is identity
SITE: 12	12	12	0
SITE: 9	10	63	0
SITE: 7	9	29	0
WARN: Unitary gate is identity
SITE: 8	8	8	0
SITE: 5	6	29	0
WARN: Unitary gate is identity
SITE: 7	7	7	0
SITE: 4	5	63	0
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 0	1	29	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 2	2	2	1
WARN: Unitary gate is identity
SITE: 29	29	29	1
MPS Info: -1.46016 0.783229 0.184351 
Writing MPS done!
