LLHLHLHLHHLLHLHHLLLLHLLLHHLLHHHLHHHLLHLLHHLHLHLLLHHHHHLHHHHHLHLH
W_LIST: -0.980503 -1.80291 0.291029 2.24542 -2.70315 0.697648 1.08841 0.775939 2.66733 1.21592 0.592425 -0.334628 0.941766 -1.95648 2.24288 -1.63545 0.786804 1.2026 -0.583772 -0.910501 -0.726751 -1.09925 -2.94782 -2.24854 -2.43581 -1.51028 -2.48566 -1.2204 0.542373 -2.40621 -2.89535 0.114902 -1.41148 -2.65412 -0.843052 1.76888 1.82165 -2.87232 1.8286 0.643779 0.899956 -1.14272 1.58989 -0.199255 1.95493 2.70118 2.97913 0.0406018 0.393995 -0.890505 -2.55248 1.52678 -0.843867 0.281797 1.06094 1.23284 -0.457587 -2.43216 0.45688 2.23732 -1.03232 -2.1089 2.77294 -2.68392 
st	op	ed	phy
SITE: 59	61	62	1
SITE: 59	62	63	1
SITE: 58	59	63	0
SITE: 57	60	63	0
SITE: 56	57	63	1
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 53	54	63	1
SITE: 52	58	63	0
SITE: 51	52	63	1
SITE: 50	51	63	0
SITE: 49	50	63	1
SITE: 48	49	63	1
SITE: 46	47	53	0
SITE: 46	48	63	1
SITE: 45	46	63	1
SITE: 43	45	53	0
SITE: 43	44	63	1
SITE: 42	43	63	1
SITE: 41	42	63	1
SITE: 40	41	63	1
SITE: 39	53	63	1
SITE: 38	39	63	1
SITE: 37	38	63	1
SITE: 36	37	63	1
SITE: 34	35	40	1
SITE: 34	36	63	1
SITE: 33	34	63	1
SITE: 31	33	40	1
SITE: 31	32	63	1
SITE: 30	40	63	1
SITE: 29	30	63	1
SITE: 28	29	63	1
SITE: 27	31	63	0
SITE: 26	27	63	0
SITE: 25	26	63	0
SITE: 24	28	63	0
SITE: 23	24	63	1
SITE: 22	23	63	0
SITE: 21	22	63	0
SITE: 20	25	63	1
SITE: 19	20	63	1
SITE: 18	19	63	0
SITE: 17	21	63	0
SITE: 16	17	63	1
SITE: 15	18	63	0
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	13	63	0
SITE: 11	12	63	0
SITE: 10	11	63	0
SITE: 8	10	16	1
SITE: 8	9	63	0
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 4	5	16	1
SITE: 4	16	63	0
SITE: 3	4	63	1
SITE: 2	3	63	1
SITE: 1	2	63	1
SITE: 0	63	63	1
SITE: 0	1	6	0
SITE: 0	0	6	0
WARN: Unitary gate is identity
SITE: 6	6	6	0
MPS Info: 8.36806 1.2323 0.210128 
Writing MPS done!
