LHHHHLHHHHHLHHLHHHLLLHLLHLLLHLLLLHLHLLLLLHHLHLLHHHLHLLLLHHHHLHLH
W_LIST: -0.63378 1.51329 1.34185 -1.7327 -1.48563 1.74783 2.77312 2.18607 0.142398 -0.305489 -1.45241 -0.12046 -2.26666 -1.91356 2.69669 -0.469438 2.80087 -1.75824 2.4102 -2.13645 -0.718646 1.1123 0.00659535 1.16826 -0.934248 1.83601 -1.86259 1.21624 0.470752 1.45917 -1.35455 2.34846 -2.13921 -2.23387 -2.99792 -2.8722 -1.2678 2.6133 2.44266 -2.74703 0.357753 -0.189544 -1.20038 -2.07953 1.56459 -0.573465 -1.39866 -0.500903 -1.61942 1.41857 -2.7392 0.246596 -2.86627 1.69132 1.12106 -0.149009 -2.87359 -0.908317 2.75599 -0.180888 1.23083 0.426057 -2.75752 -0.837226 
st	op	ed	phy
SITE: 18	19	21	0
SITE: 17	18	21	1
SITE: 16	17	21	1
SITE: 15	16	21	0
SITE: 13	14	20	1
SITE: 13	15	21	1
SITE: 11	13	20	1
SITE: 11	12	21	1
SITE: 10	11	21	0
SITE: 9	10	21	1
SITE: 8	9	21	1
SITE: 7	20	21	0
SITE: 7	21	22	0
SITE: 7	8	23	1
SITE: 7	23	24	1
SITE: 7	24	25	1
SITE: 7	25	26	1
SITE: 7	26	27	0
SITE: 7	27	28	1
SITE: 7	22	29	0
SITE: 7	29	30	1
SITE: 7	30	31	0
SITE: 7	31	32	1
SITE: 6	7	32	0
SITE: 4	6	28	0
SITE: 4	5	32	1
SITE: 2	4	28	1
SITE: 2	3	32	1
SITE: 0	1	28	0
SITE: 0	2	32	0
SITE: 0	32	33	0
SITE: 0	33	34	1
SITE: 0	34	35	0
SITE: 28	35	37	1
SITE: 0	36	37	0
SITE: 28	37	39	1
SITE: 0	38	39	1
SITE: 0	39	40	0
SITE: 0	40	41	1
SITE: 0	28	42	1
SITE: 0	42	43	1
SITE: 0	43	44	0
SITE: 0	44	45	0
SITE: 0	41	46	1
SITE: 0	46	47	0
SITE: 0	45	48	1
SITE: 0	48	49	1
SITE: 0	49	50	0
SITE: 0	50	51	0
SITE: 0	51	52	0
SITE: 0	52	53	0
SITE: 0	53	54	1
SITE: 47	54	56	1
SITE: 0	55	56	0
SITE: 47	56	58	1
SITE: 0	57	58	1
SITE: 0	58	59	0
SITE: 0	47	60	1
SITE: 0	60	61	1
SITE: 0	59	62	1
SITE: 0	62	63	0
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
MPS Info: -6.49853 0.861848 0.0408538 
Writing MPS done!
